# CDD198333:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198310:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD166458:  DirectHits:  10    Rescued Proteins:  1    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198286:  DirectHits:  9    Rescued Proteins:  2    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD129941:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD239357:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD238319:  DirectHits:  10    Rescued Proteins:  1    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198329:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD239359:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD433184:  DirectHits:  10    Rescued Proteins:  1    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD223698:  DirectHits:  7    Rescued Proteins:  4    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198331:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198307:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198332:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD433190:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198334:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD166019:  DirectHits:  10    Rescued Proteins:  1    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
# CDD198330:  DirectHits:  8    Rescued Proteins:  3    Prots with Domain in 1.A.12:  11 (100.0% from a total of 11)
1	1.A.12.1.1-P35526:437	CDD238319|216-278:2.19e-08|DirectHit	CDD166019|201-416:9.76e-15|DirectHit	CDD433184|217-280:3.52e-12|DirectHit	CDD166458|169-423:1.66e-22|DirectHit	CDD198286|303-406:0.001|DirectHit	CDD198334|293-433:1.80e-75|DirectHit	CDD239359|199-286:1.68e-56|DirectHit	CDD198307|293-428:5.43e-60|DirectHit	CDD198329|293-434:2.26e-79|DirectHit	CDD198333|295-432:3.70e-67|DirectHit	CDD433190|217-280:4.89e-05|DirectHit	CDD198332|293-427:8.32e-54|DirectHit	CDD198330|293-434:1.73e-97|DirectHit	CDD198331|293-432:6.09e-60|DirectHit	CDD198310|295-423:2.93e-12|DirectHit	CDD239357|216-279:3.09e-04|DirectHit	CDD129941|199-435:7.40e-160|DirectHit	CDD223698|216-413:2.28e-04|DirectHit
2	1.A.12.1.2-O00299:241	CDD238319|23-85:1.12e-10|DirectHit	CDD166019|8-229:7.62e-22|DirectHit	CDD433184|24-86:5.75e-12|DirectHit	CDD166458|20-229:3.43e-26|DirectHit	CDD198286|80-210:1.42e-04|DirectHit	CDD198334|100-238:1.40e-72|DirectHit	CDD239359|3-93:8.93e-55|DirectHit	CDD198307|100-234:5.52e-63|DirectHit	CDD198329|100-240:8.70e-81|DirectHit	CDD198333|100-238:5.91e-102|DirectHit	CDD433190|18-94:0.0012|Rescued1	CDD198332|101-233:4.02e-61|DirectHit	CDD198330|100-240:4.63e-75|DirectHit	CDD198331|100-238:2.84e-63|DirectHit	CDD198310|101-229:3.00e-18|DirectHit	CDD239357|23-85:1.97e-04|DirectHit	CDD129941|6-241:3.19e-162|DirectHit	CDD223698|18-231:1.4e-17|Rescued1
3	1.A.12.1.3-Q53G01:251	CDD238319|31-93:1.47e-08|DirectHit	CDD166019|16-230:1.85e-18|DirectHit	CDD433184|32-95:1.23e-12|DirectHit	CDD166458|16-237:4.19e-25|DirectHit	CDD198286|85-220:1.4e-46|Rescued1	CDD198334|108-247:1.97e-79|DirectHit	CDD239359|11-101:9.40e-61|DirectHit	CDD198307|108-242:2.45e-62|DirectHit	CDD198329|108-248:6.87e-87|DirectHit	CDD198333|110-246:3.66e-73|DirectHit	CDD433190|32-95:8.17e-06|DirectHit	CDD198332|108-241:2.56e-58|DirectHit	CDD198330|108-248:1.19e-104|DirectHit	CDD198331|108-246:1.51e-65|DirectHit	CDD198310|110-237:3.50e-14|DirectHit	CDD239357|31-94:6.22e-05|DirectHit	CDD129941|14-249:8.72e-164|DirectHit	CDD223698|31-227:7.61e-05|DirectHit
4	1.A.12.1.4-Q96NY7:704	CDD238319|484-548:1|DirectHit	CDD166019|482-685:7.33e-19|DirectHit	CDD433184|486-550:2.2e-19|Rescued1	CDD166458|484-685:7.97e-25|DirectHit	CDD198286|540-663:6.52e-05|DirectHit	CDD198334|563-702:6.82e-106|DirectHit	CDD239359|471-556:4.31e-51|DirectHit	CDD198307|563-697:3.81e-66|DirectHit	CDD198329|563-703:1.38e-86|DirectHit	CDD198333|563-701:3.18e-69|DirectHit	CDD433190|486-555:1.5e-30|Rescued1	CDD198332|563-697:3.43e-57|DirectHit	CDD198330|563-703:5.50e-86|DirectHit	CDD198331|563-701:1.39e-71|DirectHit	CDD198310|564-692:4.93e-17|DirectHit	CDD239357|486-551:9.7e-36|Rescued1	CDD129941|471-704:9.07e-144|DirectHit	CDD223698|481-692:9.3e-17|Rescued1
5	1.A.12.1.5-O15247:247	CDD238319|29-91:3.35e-09|DirectHit	CDD166019|14-240:3.63e-21|DirectHit	CDD433184|30-91:1.88e-11|DirectHit	CDD166458|14-232:6.07e-26|DirectHit	CDD198286|86-218:4.67e-05|DirectHit	CDD198334|106-245:8.67e-69|DirectHit	CDD239359|9-99:3.62e-59|DirectHit	CDD198307|106-240:1.78e-59|DirectHit	CDD198329|106-245:1.89e-69|DirectHit	CDD198333|108-244:5.78e-64|DirectHit	CDD433190|30-98:5.61e-05|DirectHit	CDD198332|106-239:2.62e-48|DirectHit	CDD198330|106-245:4.65e-72|DirectHit	CDD198331|106-244:2.91e-87|DirectHit	CDD198310|107-235:2.50e-15|DirectHit	CDD239357|29-74:2.33e-05|DirectHit	CDD129941|12-245:2.48e-160|DirectHit	CDD223698|27-235:2.3e-17|Rescued1
6	1.A.12.1.6-Q9Y696:253	CDD238319|34-96:7.51e-07|DirectHit	CDD166019|19-240:2.24e-18|DirectHit	CDD433184|35-97:1.33e-10|DirectHit	CDD166458|16-233:9.70e-25|DirectHit	CDD198286|88-209:5.53e-04|DirectHit	CDD198334|111-250:9.90e-88|DirectHit	CDD239359|14-104:4.02e-61|DirectHit	CDD198307|111-245:9.31e-66|DirectHit	CDD198329|111-251:1.81e-112|DirectHit	CDD198333|111-249:5.11e-80|DirectHit	CDD433190|34-103:1.4e-29|Rescued1	CDD198332|111-245:8.33e-62|DirectHit	CDD198330|111-251:5.68e-92|DirectHit	CDD198331|111-249:6.04e-69|DirectHit	CDD198310|112-240:3.64e-14|DirectHit	CDD239357|34-97:1.83e-04|DirectHit	CDD129941|17-252:2.39e-167|DirectHit	CDD223698|29-242:2.4e-15|Rescued1
7	1.A.12.1.7-O95833:236	CDD238319|21-83:5.96e-07|DirectHit	CDD166019|6-235:1.70e-17|DirectHit	CDD433184|21-85:1.09e-10|DirectHit	CDD166458|6-233:2.64e-23|DirectHit	CDD198286|109-207:4.79e-04|DirectHit	CDD198334|100-229:4.64e-45|DirectHit	CDD239359|1-91:2.38e-49|DirectHit	CDD198307|98-230:1.97e-56|DirectHit	CDD198329|100-229:2.41e-45|DirectHit	CDD198333|100-229:5.70e-49|DirectHit	CDD433190|22-89:4.51e-06|DirectHit	CDD198332|98-230:1.87e-89|DirectHit	CDD198330|98-229:2.82e-49|DirectHit	CDD198331|98-229:2.23e-38|DirectHit	CDD198310|88-231:6.30e-10|DirectHit	CDD239357|21-84:1.4e-21|Rescued1	CDD129941|5-229:2.44e-93|DirectHit	CDD223698|21-178:5.75e-07|DirectHit
8	1.A.12.2.1-Q9FWR4:213	CDD238319|16-77:1.19e-17|DirectHit	CDD166019|1-213:4.31e-156|DirectHit	CDD433184|20-83:3.10e-18|DirectHit	CDD166458|3-211:2.89e-112|DirectHit	CDD198286|95-187:3.61e-08|DirectHit	CDD198334|94-196:1.41e-09|DirectHit	CDD239359|3-82:4.16e-04|DirectHit	CDD198307|93-208:1.41e-27|DirectHit	CDD198329|94-203:1.21e-09|DirectHit	CDD198333|94-196:2.25e-10|DirectHit	CDD433190|19-88:2.26e-19|DirectHit	CDD198332|94-196:3.44e-04|DirectHit	CDD198330|94-208:8.51e-07|DirectHit	CDD198331|92-212:1.35e-08|DirectHit	CDD198310|89-210:3.39e-69|DirectHit	CDD239357|19-84:9.44e-09|DirectHit	CDD129941|3-203:1.53e-22|DirectHit	CDD223698|16-201:1.16e-26|DirectHit
9	1.A.12.2.2-Q8F2Y8:218	CDD238319|2-70:1.06e-17|DirectHit	CDD166019|12-83:1.08e-05|DirectHit	CDD433184|10-72:3.14e-10|DirectHit	CDD166458|12-81:6.37e-07|DirectHit	CDD198286|90-173:1.18e-04|DirectHit	CDD198334|138-184:0.0057|Rescued1	CDD239359|6-74:0.0015|Rescued1	CDD198307|138-184:0.0057|Rescued1	CDD198329|138-184:0.0064|Rescued1	CDD198333|138-184:0.0061|Rescued1	CDD433190|4-77:4.76e-17|DirectHit	CDD198332|138-184:0.0057|Rescued1	CDD198330|138-184:0.0063|Rescued1	CDD198331|138-184:0.0061|Rescued1	CDD198310|138-184:0.005|Rescued1	CDD239357|10-73:0.003|Rescued1	CDD129941|4-193:8.2e-08|Rescued1	CDD223698|2-173:2.18e-32|DirectHit
10	1.A.12.3.1-P0ACA3:212	CDD238319|11-80:1.80e-19|DirectHit	CDD166019|21-202:5.94e-10|DirectHit	CDD433184|21-82:2.96e-15|DirectHit	CDD166458|21-204:8.22e-11|DirectHit	CDD198286|100-190:1.21e-08|DirectHit	CDD198334|121-212:0.0051|Rescued1	CDD239359|21-87:6.5e-06|Rescued1	CDD198307|121-212:0.0025|Rescued1	CDD198329|121-212:0.0026|Rescued1	CDD198333|121-212:0.0049|Rescued1	CDD433190|13-87:1.40e-13|DirectHit	CDD198332|121-212:0.0046|Rescued1	CDD198330|121-212:0.0028|Rescued1	CDD198331|121-212:0.0034|Rescued1	CDD198310|121-207:0.0042|Rescued1	CDD239357|11-83:2.37e-43|DirectHit	CDD129941|21-212:3.1e-10|Rescued1	CDD223698|11-209:8.17e-50|DirectHit
