# CDD320098:  DirectHits:  106    Rescued Proteins:  80    Prots with Domain in 9.A.14:  186 (88.6% from a total of 210)
# CDD320331:  DirectHits:  105    Rescued Proteins:  81    Prots with Domain in 9.A.14:  186 (88.6% from a total of 210)
# CDD425413:  DirectHits:  109    Rescued Proteins:  70    Prots with Domain in 9.A.14:  179 (85.2% from a total of 210)
# CDD410626:  DirectHits:  115    Rescued Proteins:  70    Prots with Domain in 9.A.14:  185 (88.1% from a total of 210)
# CDD381741:  DirectHits:  109    Rescued Proteins:  90    Prots with Domain in 9.A.14:  199 (94.8% from a total of 210)
# CDD320211:  DirectHits:  104    Rescued Proteins:  81    Prots with Domain in 9.A.14:  185 (88.1% from a total of 210)
# CDD410628:  DirectHits:  127    Rescued Proteins:  74    Prots with Domain in 9.A.14:  201 (95.7% from a total of 210)
# CDD341318:  DirectHits:  104    Rescued Proteins:  94    Prots with Domain in 9.A.14:  198 (94.3% from a total of 210)
# CDD320224:  DirectHits:  102    Rescued Proteins:  97    Prots with Domain in 9.A.14:  199 (94.8% from a total of 210)
# CDD320124:  DirectHits:  104    Rescued Proteins:  95    Prots with Domain in 9.A.14:  199 (94.8% from a total of 210)
# CDD320110:  DirectHits:  104    Rescued Proteins:  95    Prots with Domain in 9.A.14:  199 (94.8% from a total of 210)
# CDD320117:  DirectHits:  104    Rescued Proteins:  92    Prots with Domain in 9.A.14:  196 (93.3% from a total of 210)
# CDD341320:  DirectHits:  102    Rescued Proteins:  97    Prots with Domain in 9.A.14:  199 (94.8% from a total of 210)
# CDD320216:  DirectHits:  102    Rescued Proteins:  95    Prots with Domain in 9.A.14:  197 (93.8% from a total of 210)
1	9.A.14.1.1-P04000:364	CDD410628|56-326:3.02e-08|DirectHit	CDD410626|57-326:3.29e-50|DirectHit	CDD381741|54-333:1.69e-111|DirectHit	CDD425413|71-322:7.83e-47|DirectHit	CDD320098|55-331:5.57e-37|DirectHit	CDD320331|61-331:2.64e-32|DirectHit	CDD320124|60-333:8.63e-30|DirectHit	CDD320211|58-333:1.69e-56|DirectHit	CDD341318|60-331:8.74e-17|DirectHit	CDD320110|61-331:9.24e-18|DirectHit	CDD320117|55-331:3.78e-17|DirectHit	CDD320224|60-330:1.34e-17|DirectHit	CDD341320|61-330:7.14e-13|DirectHit	CDD320216|71-330:1.23e-14|DirectHit
2	9.A.14.1.2-P08100:348	CDD410628|43-310:1.15e-11|DirectHit	CDD410626|40-310:1.53e-45|DirectHit	CDD381741|38-317:1.97e-102|DirectHit	CDD425413|55-306:2.69e-50|DirectHit	CDD320098|40-315:1.70e-29|DirectHit	CDD320331|46-315:1.14e-31|DirectHit	CDD320124|44-317:1.93e-29|DirectHit	CDD320211|40-315:1.81e-55|DirectHit	CDD341318|40-315:1.66e-23|DirectHit	CDD320110|41-315:2.22e-25|DirectHit	CDD320117|46-315:6.46e-22|DirectHit	CDD320224|46-314:7.24e-20|DirectHit	CDD341320|39-314:8.69e-17|DirectHit	CDD320216|44-314:1.56e-16|DirectHit
3	9.A.14.1.3-P48039:350	CDD410628|30-299:1.06e-14|DirectHit	CDD410626|30-299:1.96e-60|DirectHit	CDD381741|28-304:9.34e-46|DirectHit	CDD425413|44-295:1.65e-44|DirectHit	CDD320098|30-304:4.17e-54|DirectHit	CDD320331|30-305:2.31e-46|DirectHit	CDD320124|29-305:5.91e-45|DirectHit	CDD320211|31-306:2.27e-29|DirectHit	CDD341318|29-304:3.34e-29|DirectHit	CDD320110|30-306:4.03e-29|DirectHit	CDD320117|32-305:1.61e-21|DirectHit	CDD320224|34-304:5.04e-32|DirectHit	CDD341320|39-304:1.17e-26|DirectHit	CDD320216|33-304:2.04e-20|DirectHit
4	9.A.14.1.4-P34981:398	CDD410628|28-324:1.72e-13|DirectHit	CDD410626|29-324:9.06e-59|DirectHit	CDD381741|26-331:6.13e-35|DirectHit	CDD425413|42-320:2.88e-55|DirectHit	CDD320098|26-331:1.16e-43|DirectHit	CDD320331|26-331:1.01e-33|DirectHit	CDD320124|26-331:1.51e-58|DirectHit	CDD320211|27-330:1.36e-21|DirectHit	CDD341318|25-329:4.40e-17|DirectHit	CDD320110|27-331:5.49e-47|DirectHit	CDD320117|25-328:5.48e-24|DirectHit	CDD320224|26-331:1.13e-38|DirectHit	CDD341320|31-331:9.57e-21|DirectHit	CDD320216|26-328:8.70e-25|DirectHit
5	9.A.14.1.5-P23945:695	CDD410628|367-626:2.04e-06|DirectHit	CDD410626|367-629:3.40e-41|DirectHit	CDD381741|363-635:1.99e-35|DirectHit	CDD425413|379-626:2.75e-43|DirectHit	CDD320098|367-637:2.60e-26|DirectHit	CDD320331|371-637:6.47e-18|DirectHit	CDD320124|374-637:3.20e-23|DirectHit	CDD320211|364-635:2.01e-18|DirectHit	CDD341318|371-637:1.28e-16|DirectHit	CDD320110|371-637:1.03e-10|DirectHit	CDD320117|369-637:1.60e-13|DirectHit	CDD320224|367-637:7.19e-18|DirectHit	CDD341320|367-637:5.10e-15|DirectHit	CDD320216|364-635:2.23e-15|DirectHit
6	9.A.14.1.6-Q92847:366	CDD410628|51-323:1.09e-20|DirectHit	CDD410626|47-327:1.50e-62|DirectHit	CDD381741|45-334:1.72e-32|DirectHit	CDD425413|60-323:1.21e-55|DirectHit	CDD320098|45-333:3.55e-50|DirectHit	CDD320331|52-333:1.26e-42|DirectHit	CDD320124|54-331:1.07e-56|DirectHit	CDD320211|53-334:1.68e-19|DirectHit	CDD341318|47-331:7.10e-35|DirectHit	CDD320110|44-334:3.82e-125|DirectHit	CDD320117|48-327:8.44e-28|DirectHit	CDD320224|54-333:1.01e-40|DirectHit	CDD341320|52-334:1.20e-28|DirectHit	CDD320216|55-331:2.51e-32|DirectHit
7	9.A.14.1.7-O57422:534	CDD410628|32-304:1.78e-20|DirectHit	CDD410626|33-306:4.82e-69|DirectHit	CDD381741|28-315:3.56e-93|DirectHit	CDD425413|44-304:2.96e-64|DirectHit	CDD320098|29-315:1.61e-54|DirectHit	CDD320331|35-313:4.32e-41|DirectHit	CDD320124|30-312:1.23e-44|DirectHit	CDD320211|28-315:1.01e-118|DirectHit	CDD341318|26-315:1.82e-25|DirectHit	CDD320110|35-314:8.79e-34|DirectHit	CDD320117|41-306:3.17e-29|DirectHit	CDD320224|28-313:2.55e-22|DirectHit	CDD341320|30-315:9.87e-24|DirectHit	CDD320216|29-313:3.99e-28|DirectHit
8	9.A.14.1.8-Q9UHM6:478	CDD410628|76-350:1.12e-15|DirectHit	CDD410626|73-354:1.91e-62|DirectHit	CDD381741|71-361:7.55e-88|DirectHit	CDD425413|87-350:1.09e-58|DirectHit	CDD320098|72-361:1.11e-47|DirectHit	CDD320331|71-361:1.00e-41|DirectHit	CDD320124|78-358:2.06e-40|DirectHit	CDD320211|71-361:9.82e-146|DirectHit	CDD341318|75-358:1.12e-28|DirectHit	CDD320110|71-360:8.99e-28|DirectHit	CDD320117|72-352:3.06e-19|DirectHit	CDD320224|71-360:3.22e-21|DirectHit	CDD341320|75-361:9.89e-24|DirectHit	CDD320216|72-358:5.33e-23|DirectHit
9	9.A.14.1.9-Q8T359:382	CDD410628|57-336:1.06e-10|DirectHit	CDD410626|55-337:1.78e-53|DirectHit	CDD381741|52-344:2.16e-91|DirectHit	CDD425413|68-333:5.77e-54|DirectHit	CDD320098|63-341:3.79e-41|DirectHit	CDD320331|59-344:3.15e-30|DirectHit	CDD320124|63-344:8.37e-33|DirectHit	CDD320211|52-341:9.00e-95|DirectHit	CDD341318|63-344:3.29e-22|DirectHit	CDD320110|52-341:6.44e-18|DirectHit	CDD320117|54-333:1.24e-12|DirectHit	CDD320224|59-341:2.09e-16|DirectHit	CDD341320|63-344:1.11e-17|DirectHit	CDD320216|63-341:7.52e-15|DirectHit
10	9.A.14.1.10-Q0ZPT9:371	CDD410628|33-193:6.61e-06|DirectHit	CDD410626|34-345:2.99e-41|DirectHit	CDD381741|28-352:1.81e-89|DirectHit	CDD425413|44-341:2.99e-38|DirectHit	CDD320098|29-352:1.30e-34|DirectHit	CDD320331|29-352:9.94e-33|DirectHit	CDD320124|29-352:1.86e-24|DirectHit	CDD320211|28-352:3.46e-71|DirectHit	CDD341318|36-225:1.76e-10|DirectHit	CDD320110|35-161:5.96e-12|DirectHit	CDD320117|34-349:5.40e-11|DirectHit	CDD320224|36-161:9.80e-11|DirectHit	CDD341320|35-352:2.63e-09|DirectHit	CDD320216|37-352:5.86e-05|DirectHit
