# CDD319725:  DirectHits:  12    Rescued Proteins:  1    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438359:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438460:  DirectHits:  12    Rescued Proteins:  1    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438461:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438474:  DirectHits:  11    Rescued Proteins:  2    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD319614:  DirectHits:  12    Rescued Proteins:  1    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438363:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438457:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438361:  DirectHits:  9    Rescued Proteins:  4    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438360:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD403957:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438459:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD128983:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438458:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD319722:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438362:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438462:  DirectHits:  12    Rescued Proteins:  1    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438158:  DirectHits:  13    Rescued Proteins:  0    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
# CDD438473:  DirectHits:  12    Rescued Proteins:  1    Prots with Domain in 8.A.159:  13 (92.9% from a total of 14)
1	8.A.159.1.1-Q8TCQ1:289	CDD438458|74-136:1.94e-38|DirectHit	CDD438360|79-130:1.16e-17|DirectHit	CDD438459|79-130:3.16e-15|DirectHit	CDD438461|78-127:3.31e-11|DirectHit	CDD319722|79-130:2.36e-14|DirectHit	CDD438359|79-130:1.32e-29|DirectHit	CDD438362|79-128:2.54e-19|DirectHit	CDD128983|79-127:3.07e-21|DirectHit	CDD403957|80-126:1.31e-18|DirectHit	CDD438457|74-143:1.15e-44|DirectHit	CDD438363|78-127:3.95e-12|DirectHit	CDD438158|80-127:2.68e-18|DirectHit	CDD319614|79-130:3.68e-11|DirectHit	CDD319725|79-130:2.01e-10|DirectHit	CDD438462|78-133:2.17e-10|DirectHit	CDD438460|79-130:3.02e-09|DirectHit	CDD438473|79-130:3.12e-09|DirectHit	CDD438474|80-130:1.80e-09|DirectHit	CDD438361|80-115:8.87e-06|DirectHit
2	8.A.159.1.2-Q60337:319	CDD438458|Nohit	CDD438360|Nohit	CDD438459|Nohit	CDD438461|Nohit	CDD319722|Nohit	CDD438359|Nohit	CDD438362|Nohit	CDD128983|Nohit	CDD403957|Nohit	CDD438457|Nohit	CDD438363|Nohit	CDD438158|Nohit	CDD319614|Nohit	CDD319725|Nohit	CDD438462|Nohit	CDD438460|Nohit	CDD438473|Nohit	CDD438474|Nohit	CDD438361|Nohit
3	8.A.159.1.3-Q9P0N8:246	CDD438458|57-118:2.70e-14|DirectHit	CDD438360|63-113:9.66e-28|DirectHit	CDD438459|59-113:9.76e-24|DirectHit	CDD438461|60-109:8.02e-08|DirectHit	CDD319722|62-113:7.25e-31|DirectHit	CDD438359|64-113:4.16e-12|DirectHit	CDD438362|63-111:4.53e-12|DirectHit	CDD128983|63-110:8.05e-17|DirectHit	CDD403957|64-109:2.91e-13|DirectHit	CDD438457|58-125:4.07e-15|DirectHit	CDD438363|60-109:4.17e-08|DirectHit	CDD438158|64-110:4.29e-14|DirectHit	CDD319614|64-113:2.54e-08|DirectHit	CDD319725|64-113:2.70e-08|DirectHit	CDD438462|56-108:2.72e-06|DirectHit	CDD438460|62-115:3.83e-07|DirectHit	CDD438473|62-113:2.93e-08|DirectHit	CDD438474|62-113:4.13e-08|DirectHit	CDD438361|64-113:9.7e-14|Rescued1
4	8.A.159.1.4-RJE25163:1631	CDD438458|41-93:1.32e-17|DirectHit	CDD438360|43-93:1.42e-15|DirectHit	CDD438459|37-95:1.16e-14|DirectHit	CDD438461|38-90:2.16e-12|DirectHit	CDD319722|43-93:4.02e-14|DirectHit	CDD438359|43-93:1.07e-18|DirectHit	CDD438362|42-91:8.30e-31|DirectHit	CDD128983|43-90:2.41e-23|DirectHit	CDD403957|43-89:1.66e-20|DirectHit	CDD438457|41-93:1.96e-16|DirectHit	CDD438363|39-90:7.05e-12|DirectHit	CDD438158|43-90:1.18e-18|DirectHit	CDD319614|43-89:9.84e-12|DirectHit	CDD319725|43-89:1.56e-11|DirectHit	CDD438462|34-90:2.36e-09|DirectHit	CDD438460|42-89:1.11e-10|DirectHit	CDD438473|43-89:8.70e-11|DirectHit	CDD438474|43-89:1.31e-10|DirectHit	CDD438361|42-93:2.67e-09|DirectHit
5	8.A.159.1.6-TYJ47962:423	CDD438458|209-264:1.50e-09|DirectHit	CDD438360|214-264:6.80e-09|DirectHit	CDD438459|211-261:4.30e-05|DirectHit	CDD438461|210-261:4.29e-06|DirectHit	CDD319722|214-264:9.41e-06|DirectHit	CDD438359|214-261:3.40e-08|DirectHit	CDD438362|214-263:1.24e-07|DirectHit	CDD128983|214-262:2.28e-21|DirectHit	CDD403957|215-261:1.42e-17|DirectHit	CDD438457|209-261:2.52e-08|DirectHit	CDD438363|215-261:3.20e-06|DirectHit	CDD438158|215-262:1.06e-14|DirectHit	CDD319614|214-261:5.80e-08|DirectHit	CDD319725|215-261:1.72e-08|DirectHit	CDD438462|206-265:5.23e-04|DirectHit	CDD438460|214-261:2.96e-06|DirectHit	CDD438473|214-261:2.14e-07|DirectHit	CDD438474|215-261:2.39e-07|DirectHit	CDD438361|214-264:1.09e-05|DirectHit
6	8.A.159.1.7-KAF9316120:629	CDD438458|388-445:6.27e-09|DirectHit	CDD438360|388-445:6.88e-10|DirectHit	CDD438459|384-445:3.88e-07|DirectHit	CDD438461|388-442:1.16e-07|DirectHit	CDD319722|388-445:2.80e-05|DirectHit	CDD438359|388-445:4.68e-10|DirectHit	CDD438362|388-443:5.32e-13|DirectHit	CDD128983|387-442:2.31e-15|DirectHit	CDD403957|388-441:7.69e-12|DirectHit	CDD438457|388-445:9.96e-08|DirectHit	CDD438363|388-425:2.52e-07|DirectHit	CDD438158|388-442:1.10e-20|DirectHit	CDD319614|388-445:2.18e-08|DirectHit	CDD319725|387-445:1.90e-07|DirectHit	CDD438462|387-445:1.07e-04|DirectHit	CDD438460|388-445:4.58e-06|DirectHit	CDD438473|388-445:1.62e-06|DirectHit	CDD438474|387-445:2.24e-07|DirectHit	CDD438361|386-425:3.13e-08|DirectHit
7	8.A.159.1.8-XP_001355387:265	CDD438458|88-142:7.40e-06|DirectHit	CDD438360|91-139:7.47e-09|DirectHit	CDD438459|92-142:3.83e-07|DirectHit	CDD438461|87-138:1.76e-05|DirectHit	CDD319722|92-142:1.50e-07|DirectHit	CDD438359|92-138:3.27e-05|DirectHit	CDD438362|92-139:4.51e-11|DirectHit	CDD128983|92-139:9.86e-17|DirectHit	CDD403957|92-138:1.01e-14|DirectHit	CDD438457|92-153:4.32e-05|DirectHit	CDD438363|89-127:4.15e-05|DirectHit	CDD438158|92-139:6.20e-14|DirectHit	CDD319614|92-139:1.73e-06|DirectHit	CDD319725|92-139:6.02e-06|DirectHit	CDD438462|84-147:5.4e-12|Rescued1	CDD438460|91-138:7.68e-06|DirectHit	CDD438473|92-139:7.95e-05|DirectHit	CDD438474|92-139:3.90e-05|DirectHit	CDD438361|91-142:1.5e-12|Rescued1
8	8.A.159.1.9-Q86UD3:253	CDD438458|70-125:4.96e-15|DirectHit	CDD438360|70-120:2.48e-30|DirectHit	CDD438459|65-120:3.06e-36|DirectHit	CDD438461|70-116:7.57e-08|DirectHit	CDD319722|69-120:5.35e-26|DirectHit	CDD438359|70-120:4.78e-14|DirectHit	CDD438362|70-117:2.45e-12|DirectHit	CDD128983|70-117:1.59e-16|DirectHit	CDD403957|71-116:4.09e-13|DirectHit	CDD438457|70-132:1.33e-16|DirectHit	CDD438363|70-116:3.22e-08|DirectHit	CDD438158|71-117:4.18e-15|DirectHit	CDD319614|70-120:2.32e-11|DirectHit	CDD319725|70-120:1.06e-11|DirectHit	CDD438462|71-116:9.91e-06|DirectHit	CDD438460|69-122:3.99e-10|DirectHit	CDD438473|69-120:3.17e-11|DirectHit	CDD438474|69-120:3.33e-11|DirectHit	CDD438361|70-120:5.6e-14|Rescued1
9	8.A.159.1.10-P90489:256	CDD438458|14-60:1.23e-07|DirectHit	CDD438360|14-59:1.10e-07|DirectHit	CDD438459|11-59:1.09e-08|DirectHit	CDD438461|11-60:1.60e-06|DirectHit	CDD319722|13-59:1.54e-09|DirectHit	CDD438359|14-60:1.82e-07|DirectHit	CDD438362|14-60:6.77e-09|DirectHit	CDD128983|14-60:2.44e-17|DirectHit	CDD403957|15-59:4.72e-12|DirectHit	CDD438457|14-70:7.70e-06|DirectHit	CDD438363|11-60:1.31e-07|DirectHit	CDD438158|15-60:1.55e-13|DirectHit	CDD319614|14-63:9e-11|Rescued1	CDD319725|14-63:1.6e-10|Rescued1	CDD438462|7-60:1.02e-05|DirectHit	CDD438460|13-63:6.8e-10|Rescued1	CDD438473|13-63:5.3e-10|Rescued1	CDD438474|13-63:1e-10|Rescued1	CDD438361|15-63:5.24e-04|DirectHit
10	8.A.159.1.11-O60337:910	CDD438458|6-59:9.40e-20|DirectHit	CDD438360|8-59:5.23e-12|DirectHit	CDD438459|5-59:1.42e-13|DirectHit	CDD438461|5-58:7.93e-14|DirectHit	CDD319722|8-59:1.20e-11|DirectHit	CDD438359|8-59:3.10e-18|DirectHit	CDD438362|8-57:4.50e-34|DirectHit	CDD128983|8-56:7.79e-22|DirectHit	CDD403957|9-55:2.91e-16|DirectHit	CDD438457|4-67:1.05e-17|DirectHit	CDD438363|5-56:2.83e-13|DirectHit	CDD438158|9-56:6.43e-16|DirectHit	CDD319614|8-59:1.13e-09|DirectHit	CDD319725|8-59:1.46e-08|DirectHit	CDD438462|2-57:3.42e-11|DirectHit	CDD438460|8-64:1.09e-07|DirectHit	CDD438473|8-59:1.36e-07|DirectHit	CDD438474|9-59:7.70e-08|DirectHit	CDD438361|8-59:1.2e-19|Rescued1
