# CDD238744:  DirectHits:  13    Rescued Proteins:  3    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238741:  DirectHits:  11    Rescued Proteins:  5    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238733:  DirectHits:  13    Rescued Proteins:  3    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238727:  DirectHits:  13    Rescued Proteins:  3    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238742:  DirectHits:  14    Rescued Proteins:  2    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238119:  DirectHits:  16    Rescued Proteins:  0    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238728:  DirectHits:  11    Rescued Proteins:  5    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD214621:  DirectHits:  16    Rescued Proteins:  0    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD224161:  DirectHits:  11    Rescued Proteins:  5    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238743:  DirectHits:  14    Rescued Proteins:  2    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD433277:  DirectHits:  15    Rescued Proteins:  1    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD238738:  DirectHits:  11    Rescued Proteins:  5    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD274577:  DirectHits:  10    Rescued Proteins:  6    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
# CDD129946:  DirectHits:  10    Rescued Proteins:  8    Prots with Domain in 1.A.13:  18 (94.7% from a total of 19)
# CDD425461:  DirectHits:  15    Rescued Proteins:  1    Prots with Domain in 1.A.13:  16 (84.2% from a total of 19)
1	1.A.13.1.1-P54281:903	CDD238119|307-461:3.10e-28|DirectHit	CDD214621|309-467:1.27e-21|DirectHit	CDD425461|309-473:2.17e-14|DirectHit	CDD433277|311-413:1.70e-08|DirectHit	CDD238742|310-461:8.79e-12|DirectHit	CDD238743|311-457:2.00e-09|DirectHit	CDD238727|311-461:6.41e-08|DirectHit	CDD238733|309-465:1.50e-05|DirectHit	CDD238744|309-469:3.60e-09|DirectHit	CDD238741|309-455:1.85e-07|DirectHit	CDD224161|294-419:3.98e-04|DirectHit	CDD238738|307-444:7.46e-11|DirectHit	CDD238728|307-461:6.92e-06|DirectHit	CDD274577|307-473:3.85e-10|DirectHit	CDD129946|1-867:0.0|DirectHit
2	1.A.13.1.2-Q14CN2:919	CDD238119|305-459:1.89e-25|DirectHit	CDD214621|307-465:8.56e-23|DirectHit	CDD425461|307-472:5.67e-14|DirectHit	CDD433277|309-396:3.55e-08|DirectHit	CDD238742|308-465:3.51e-10|DirectHit	CDD238743|306-460:5.93e-09|DirectHit	CDD238727|309-459:4.46e-06|DirectHit	CDD238733|307-466:9.20e-06|DirectHit	CDD238744|305-469:6.2e-49|Rescued1	CDD238741|307-443:1.02e-05|DirectHit	CDD224161|292-465:3.1e-36|Rescued1	CDD238738|305-465:5.7e-48|Rescued1	CDD238728|305-419:6.50e-05|DirectHit	CDD274577|309-473:1.23e-09|DirectHit	CDD129946|1-862:0.0|DirectHit
3	1.A.13.1.3-F7IYU6:940	CDD238119|302-456:4.87e-23|DirectHit	CDD214621|304-456:9.52e-20|DirectHit	CDD425461|306-456:2.53e-11|DirectHit	CDD433277|306-387:1.48e-11|DirectHit	CDD238742|305-439:4.61e-10|DirectHit	CDD238743|306-454:3.83e-12|DirectHit	CDD238727|304-449:4.89e-10|DirectHit	CDD238733|304-453:3.27e-07|DirectHit	CDD238744|306-460:3.41e-16|DirectHit	CDD238741|304-440:2.40e-06|DirectHit	CDD224161|304-414:8.78e-06|DirectHit	CDD238738|302-434:2.34e-06|DirectHit	CDD238728|302-483:4.4e-36|Rescued1	CDD274577|283-474:1.14e-06|DirectHit	CDD129946|11-860:0.0|DirectHit
4	1.A.13.1.4-Q9Y6N3:262	CDD238119|Nohit	CDD214621|Nohit	CDD425461|Nohit	CDD433277|Nohit	CDD238742|Nohit	CDD238743|Nohit	CDD238727|Nohit	CDD238733|Nohit	CDD238744|Nohit	CDD238741|Nohit	CDD224161|Nohit	CDD238738|Nohit	CDD238728|Nohit	CDD274577|Nohit	CDD129946|1-262:2.69e-168|DirectHit
5	1.A.13.1.5-B0SAN7:1054	CDD238119|Nohit	CDD214621|Nohit	CDD425461|Nohit	CDD433277|Nohit	CDD238742|Nohit	CDD238743|Nohit	CDD238727|Nohit	CDD238733|Nohit	CDD238744|Nohit	CDD238741|Nohit	CDD224161|Nohit	CDD238738|Nohit	CDD238728|Nohit	CDD274577|Nohit	CDD129946|132-534:7e-07|Rescued1
6	1.A.13.1.6-A8K7I4:914	CDD238119|305-458:1.79e-21|DirectHit	CDD214621|307-464:2.81e-18|DirectHit	CDD425461|307-449:4.57e-07|DirectHit	CDD433277|309-410:5.37e-08|DirectHit	CDD238742|308-438:3.69e-09|DirectHit	CDD238743|306-458:7.78e-09|DirectHit	CDD238727|307-458:1.1e-44|Rescued1	CDD238733|307-465:1.04e-04|DirectHit	CDD238744|307-462:1.39e-07|DirectHit	CDD238741|307-452:5.04e-10|DirectHit	CDD224161|307-416:4.74e-04|DirectHit	CDD238738|307-461:7.48e-07|DirectHit	CDD238728|305-416:4.06e-06|DirectHit	CDD274577|293-477:4.3e-48|Rescued1	CDD129946|1-861:0.0|DirectHit
7	1.A.13.1.7-F7IYU5:942	CDD238119|300-454:1.91e-23|DirectHit	CDD214621|302-463:1.05e-17|DirectHit	CDD425461|302-466:4.37e-11|DirectHit	CDD433277|302-385:6.48e-10|DirectHit	CDD238742|303-418:8.21e-12|DirectHit	CDD238743|301-452:9.57e-15|DirectHit	CDD238727|302-446:4.37e-10|DirectHit	CDD238733|302-451:3.24e-08|DirectHit	CDD238744|302-458:2.84e-09|DirectHit	CDD238741|302-449:4.53e-06|DirectHit	CDD224161|293-412:1.75e-04|DirectHit	CDD238738|300-410:4.88e-05|DirectHit	CDD238728|300-455:9.5e-37|Rescued1	CDD274577|281-472:1.1e-64|Rescued1	CDD129946|7-858:0.0|DirectHit
8	1.A.13.1.8-F1P490:935	CDD238119|313-467:5.40e-24|DirectHit	CDD214621|315-479:1.59e-20|DirectHit	CDD425461|317-470:1.94e-13|DirectHit	CDD433277|317-419:5.92e-09|DirectHit	CDD238742|316-447:7.73e-11|DirectHit	CDD238743|317-464:2.37e-15|DirectHit	CDD238727|315-462:3.79e-10|DirectHit	CDD238733|296-504:1.3e-42|Rescued1	CDD238744|313-472:2.81e-10|DirectHit	CDD238741|315-461:2.59e-09|DirectHit	CDD224161|300-422:1.48e-10|DirectHit	CDD238738|313-464:8.28e-06|DirectHit	CDD238728|313-422:8.08e-09|DirectHit	CDD274577|303-486:2.11e-06|DirectHit	CDD129946|8-872:0.0|DirectHit
9	1.A.13.1.9-XP_040533254:1005	CDD238119|379-534:5.52e-15|DirectHit	CDD214621|381-546:7.81e-11|DirectHit	CDD425461|381-549:3.76e-09|DirectHit	CDD433277|383-486:3.30e-04|DirectHit	CDD238742|381-537:1.4e-29|Rescued1	CDD238743|380-560:1.6e-35|Rescued1	CDD238727|381-535:2.7e-31|Rescued1	CDD238733|366-539:5.9e-35|Rescued1	CDD238744|379-560:6.1e-36|Rescued1	CDD238741|381-528:1.3e-33|Rescued1	CDD224161|366-535:1.4e-25|Rescued1	CDD238738|379-537:2.9e-35|Rescued1	CDD238728|379-535:6.1e-31|Rescued1	CDD274577|366-560:1.6e-37|Rescued1	CDD129946|99-941:0.0|DirectHit
10	1.A.13.1.10-Q9UQC9:943	CDD238119|312-466:8.91e-16|DirectHit	CDD214621|312-472:3.23e-07|DirectHit	CDD425461|312-481:2.9e-41|Rescued1	CDD433277|312-418:3.5e-24|Rescued1	CDD238742|312-473:2e-30|Rescued1	CDD238743|311-491:1.4e-34|Rescued1	CDD238727|312-467:2.5e-31|Rescued1	CDD238733|296-469:2.2e-34|Rescued1	CDD238744|310-508:1.9e-35|Rescued1	CDD238741|312-460:2.5e-32|Rescued1	CDD224161|296-467:5.2e-25|Rescued1	CDD238738|310-473:7.3e-35|Rescued1	CDD238728|310-467:1.5e-31|Rescued1	CDD274577|298-508:1.9e-39|Rescued1	CDD129946|33-883:0.0|DirectHit
11	1.A.13.2.1-B8AFH9:709	CDD238119|265-434:5.16e-24|DirectHit	CDD214621|266-439:5.69e-23|DirectHit	CDD425461|266-447:2.28e-25|DirectHit	CDD433277|267-369:1.10e-18|DirectHit	CDD238742|265-445:2.73e-24|DirectHit	CDD238743|265-436:1.30e-52|DirectHit	CDD238727|265-434:2.64e-10|DirectHit	CDD238733|259-433:2.23e-10|DirectHit	CDD238744|265-438:9.38e-08|DirectHit	CDD238741|260-426:2.42e-06|DirectHit	CDD224161|262-373:6.34e-08|DirectHit	CDD238738|264-443:8.41e-28|DirectHit	CDD238728|270-375:3.79e-05|DirectHit	CDD274577|263-447:2.56e-10|DirectHit	CDD129946|26-694:3.7e-08|Rescued1
12	1.A.13.2.2-Q55874:420	CDD238119|42-197:1.68e-27|DirectHit	CDD214621|43-211:2.67e-25|DirectHit	CDD425461|43-210:1.42e-22|DirectHit	CDD433277|46-143:2.42e-08|DirectHit	CDD238742|42-208:1.05e-69|DirectHit	CDD238743|42-199:2.09e-20|DirectHit	CDD238727|42-191:5.63e-11|DirectHit	CDD238733|28-197:5.11e-09|DirectHit	CDD238744|43-203:5.68e-08|DirectHit	CDD238741|38-188:4.11e-14|DirectHit	CDD224161|22-205:7.4e-17|Rescued1	CDD238738|40-206:2.17e-19|DirectHit	CDD238728|44-146:2.83e-06|DirectHit	CDD274577|40-217:3.32e-04|DirectHit	CDD129946|38-152:1.5e-08|Rescued1
13	1.A.13.2.3-P76481:575	CDD238119|216-375:2.27e-27|DirectHit	CDD214621|216-383:1.77e-25|DirectHit	CDD425461|216-389:4.04e-24|DirectHit	CDD433277|217-301:2.64e-10|DirectHit	CDD238742|215-386:2.51e-85|DirectHit	CDD238743|217-376:9.14e-15|DirectHit	CDD238727|216-375:3.87e-15|DirectHit	CDD238733|213-384:7.27e-10|DirectHit	CDD238744|216-374:2.63e-06|DirectHit	CDD238741|218-355:1.04e-06|DirectHit	CDD224161|194-381:5.03e-09|DirectHit	CDD238738|216-376:1.74e-17|DirectHit	CDD238728|216-383:1.99e-05|DirectHit	CDD274577|205-402:6.8e-46|Rescued1	CDD129946|216-354:1.1e-09|Rescued1
