# CDD381620:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.E.64:  1 (4.8% from a total of 21)
# CDD381599:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.E.64:  1 (4.8% from a total of 21)
# CDD395766:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.E.64:  1 (4.8% from a total of 21)
# CDD381597:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.E.64:  1 (4.8% from a total of 21)
# CDD226295:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.E.64:  1 (4.8% from a total of 21)
# CDD381619:  DirectHits:  1    Rescued Proteins:  0    Prots with Domain in 1.E.64:  1 (4.8% from a total of 21)
1	1.E.64.1.1-Q1MVN4:84	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
2	1.E.64.1.2-WP_233215890:82	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
3	1.E.64.1.3-YP_010052889:71	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
4	1.E.64.1.4-TXM74147:77	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
5	1.E.64.1.5-RWH17216:68	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
6	1.E.64.2.2-QND42807:73	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
7	1.E.64.2.3-WP_100083435:77	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
8	1.E.64.2.4-WP_175134354:72	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
9	1.E.64.2.5-WP_222503999:243	CDD395766|124-228:3.56e-18|DirectHit	CDD381597|111-190:7.42e-07|DirectHit	CDD381620|101-236:1.23e-45|DirectHit	CDD381599|103-236:5.35e-50|DirectHit	CDD381619|96-236:5.53e-71|DirectHit	CDD226295|93-239:2.37e-41|DirectHit
10	1.E.64.2.6-WP_108574100:77	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
11	1.E.64.2.7-QPI17706:69	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
12	1.E.64.3.1-YP_009626235:80	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
13	1.E.64.3.2-NP_918972:127	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
14	1.E.64.3.3-WP_175142697:93	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
15	1.E.64.3.4-YP_010053991:79	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
16	1.E.64.3.5-WP_211813489:114	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
17	1.E.64.3.6-WP_202050076:90	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
18	1.E.64.3.7-WP_183291584:88	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
19	1.E.64.3.8-WP_051583161:90	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
20	1.E.64.3.9-WP_006225465:87	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
21	1.E.64.3.10-WP_109904170:84	CDD395766|Nohit	CDD381597|Nohit	CDD381620|Nohit	CDD381599|Nohit	CDD381619|Nohit	CDD226295|Nohit
