# CDD238344:  DirectHits:  39    Rescued Proteins:  3    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
# CDD427389:  DirectHits:  39    Rescued Proteins:  3    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
# CDD279307:  DirectHits:  34    Rescued Proteins:  8    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
# CDD238535:  DirectHits:  39    Rescued Proteins:  3    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
# CDD223547:  DirectHits:  39    Rescued Proteins:  3    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
# CDD238536:  DirectHits:  26    Rescued Proteins:  16    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
# CDD273267:  DirectHits:  38    Rescued Proteins:  4    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
# CDD223983:  DirectHits:  27    Rescued Proteins:  15    Prots with Domain in 2.A.47:  42 (100.0% from a total of 42)
1	2.A.47.1.1-Q2FMC1:502	CDD427389|41-435:3.95e-38|345-489:7.95e-07|DirectHit	CDD238344|32-238:9.86e-08|42-481:9.66e-42|303-484:1.55e-05|DirectHit	CDD223547|33-490:7.84e-60|DirectHit	CDD238535|24-199:2.39e-06|34-484:6.80e-65|DirectHit	CDD273267|35-483:2.81e-71|DirectHit	CDD279307|34-480:6.16e-57|DirectHit	CDD223983|38-488:1.77e-16|DirectHit	CDD238536|81-482:9.23e-17|DirectHit
2	2.A.47.1.2-Q07782:595	CDD427389|8-171:2.59e-06|47-517:6.70e-19|407-573:4.07e-11|DirectHit	CDD238344|47-567:9.81e-28|DirectHit	CDD223547|40-573:8.81e-47|DirectHit	CDD238535|38-567:1.36e-53|DirectHit	CDD273267|40-572:4.10e-43|DirectHit	CDD279307|32-579:7.47e-49|DirectHit	CDD223983|9-573:7.2e-75|Rescued1	CDD238536|37-572:3.5e-83|Rescued1
3	2.A.47.1.3-O35055:587	CDD427389|6-161:6.51e-09|46-498:2.44e-29|399-548:8.01e-13|DirectHit	CDD238344|46-550:1.52e-45|DirectHit	CDD223547|42-558:1.01e-53|DirectHit	CDD238535|42-553:6.61e-90|DirectHit	CDD273267|43-553:6.60e-53|DirectHit	CDD279307|7-560:2.06e-109|DirectHit	CDD223983|11-556:9.5e-88|Rescued1	CDD238536|37-550:3.8e-86|Rescued1
4	2.A.47.1.4-Q9Z0Z5:600	CDD427389|49-509:1.91e-31|412-561:4.67e-10|DirectHit	CDD238344|49-561:9.71e-44|DirectHit	CDD223547|40-564:8.24e-55|DirectHit	CDD238535|42-556:4.58e-71|DirectHit	CDD273267|31-565:3.69e-57|DirectHit	CDD279307|34-564:3.91e-68|DirectHit	CDD223983|42-497:1.84e-08|DirectHit	CDD238536|84-508:2.02e-09|DirectHit
5	2.A.47.1.5-Q9W7I2:601	CDD427389|17-161:1.31e-05|50-501:1.82e-30|415-565:8.07e-12|DirectHit	CDD238344|50-565:5.93e-40|DirectHit	CDD223547|17-572:4.40e-55|DirectHit	CDD238535|41-569:1.83e-69|DirectHit	CDD273267|28-568:1.46e-47|DirectHit	CDD279307|7-573:4.19e-66|DirectHit	CDD223983|13-573:4.8e-134|Rescued1	CDD238536|83-522:3.65e-05|DirectHit
6	2.A.47.1.6-Q8LG88:540	CDD427389|83-474:7.45e-29|390-527:4.44e-07|DirectHit	CDD238344|83-526:1.39e-38|DirectHit	CDD223547|74-529:3.73e-53|DirectHit	CDD238535|76-534:1.28e-69|DirectHit	CDD273267|72-522:2.40e-52|DirectHit	CDD279307|75-525:3.90e-45|DirectHit	CDD223983|76-495:2.82e-07|DirectHit	CDD238536|163-496:8.63e-04|DirectHit
7	2.A.47.1.7-Q93655:582	CDD427389|54-487:8.89e-30|389-570:7.88e-08|DirectHit	CDD238344|55-537:3.40e-39|DirectHit	CDD223547|19-547:7.55e-53|DirectHit	CDD238535|45-544:5.11e-63|DirectHit	CDD273267|37-543:7.12e-44|DirectHit	CDD279307|44-542:3.06e-53|DirectHit	CDD223983|55-542:9.75e-09|DirectHit	CDD238536|91-496:7.48e-07|DirectHit
8	2.A.47.1.8-Q21339:566	CDD427389|85-488:2.44e-32|392-538:8.09e-11|DirectHit	CDD238344|85-540:3.95e-38|DirectHit	CDD223547|84-539:1.00e-53|DirectHit	CDD238535|83-543:4.74e-64|DirectHit	CDD273267|84-539:3.75e-47|DirectHit	CDD279307|74-542:7.12e-56|DirectHit	CDD223983|83-540:1.76e-08|DirectHit	CDD238536|89-497:4.59e-07|DirectHit
9	2.A.47.1.9-Q86YT5:568	CDD427389|11-164:2.30e-06|46-492:1.09e-26|393-544:6.65e-08|DirectHit	CDD238344|46-544:1.24e-40|408-567:2.91e-07|DirectHit	CDD223547|31-547:6.68e-52|DirectHit	CDD238535|39-548:1.09e-72|DirectHit	CDD273267|41-547:3.04e-49|DirectHit	CDD279307|31-552:7.43e-86|DirectHit	CDD223983|12-547:1.7e-91|Rescued1	CDD238536|15-543:2e-89|Rescued1
10	2.A.47.1.10-Q9VVT2:590	CDD427389|75-510:4.20e-27|409-547:6.02e-05|DirectHit	CDD238344|70-290:3.61e-07|75-545:1.16e-29|DirectHit	CDD223547|54-298:1.02e-05|66-545:1.42e-40|DirectHit	CDD238535|68-545:1.68e-53|DirectHit	CDD273267|70-545:3.17e-44|DirectHit	CDD279307|38-545:2.86e-49|DirectHit	CDD223983|70-531:5.75e-05|DirectHit	CDD238536|66-290:2.32e-04|138-533:9.28e-05|DirectHit
11	2.A.47.1.11-Q2FFH9:520	CDD427389|72-443:6.74e-50|365-505:1.14e-08|DirectHit	CDD238344|52-264:9.16e-13|72-501:2.97e-45|DirectHit	CDD223547|62-510:9.28e-77|DirectHit	CDD238535|60-267:4.86e-10|63-505:6.72e-74|DirectHit	CDD273267|63-500:7.74e-68|DirectHit	CDD279307|51-500:3.45e-63|DirectHit	CDD223983|73-443:4.53e-21|80-265:1.22e-09|DirectHit	CDD238536|59-443:3.54e-13|DirectHit
12	2.A.47.1.12-A4QAL6:527	CDD427389|83-452:1.33e-32|DirectHit	CDD238344|74-274:2.80e-10|83-513:1.70e-38|DirectHit	CDD223547|75-524:3.33e-71|DirectHit	CDD238535|76-511:6.45e-67|DirectHit	CDD273267|77-511:1.06e-74|79-278:6.37e-05|DirectHit	CDD279307|76-525:1.44e-60|DirectHit	CDD223983|80-452:2.46e-10|DirectHit	CDD238536|123-440:2.46e-06|DirectHit
