# CDD427738:  DirectHits:  13    Rescued Proteins:  2    Prots with Domain in 2.A.129:  15 (100.0% from a total of 15)
# CDD225155:  DirectHits:  11    Rescued Proteins:  4    Prots with Domain in 2.A.129:  15 (100.0% from a total of 15)
1	2.A.129.1.1-O22008:120	CDD427738|7-116:7.68e-10|DirectHit	CDD225155|1-120:3.37e-16|DirectHit
2	2.A.129.1.2-P9WMS9:121	CDD427738|2-118:2.03e-14|DirectHit	CDD225155|1-121:2.02e-22|DirectHit
3	2.A.129.1.3-AKM78370:216	CDD427738|70-213:2.91e-11|DirectHit	CDD225155|67-216:7.79e-08|DirectHit
4	2.A.129.1.4-C4LHZ7:203	CDD427738|21-174:2.83e-18|DirectHit	CDD225155|12-175:7.88e-11|DirectHit
5	2.A.129.1.5-SEM04082:192	CDD427738|41-103:1.24e-05|52-172:6.87e-25|DirectHit	CDD225155|41-172:1.74e-18|DirectHit
6	2.A.129.1.6-WP_085088541:142	CDD427738|43-139:2.20e-07|DirectHit	CDD225155|1-140:1.4e-06|Rescued1
7	2.A.129.1.7-T1YCA9:128	CDD427738|12-123:5.91e-19|DirectHit	CDD225155|1-125:2.25e-17|DirectHit
8	2.A.129.1.8-SHH76803:149	CDD427738|25-143:2.98e-20|DirectHit	CDD225155|16-144:1.40e-11|DirectHit
9	2.A.129.1.9-OQJ72346:136	CDD427738|12-129:6.94e-19|DirectHit	CDD225155|12-133:2.50e-07|DirectHit
10	2.A.129.1.10-WP_074970406:129	CDD427738|7-121:1.29e-16|70-122:7.82e-04|DirectHit	CDD225155|7-123:3.70e-04|DirectHit
11	2.A.129.1.11-WP_027108241:138	CDD427738|9-67:2.83e-04|17-134:6.02e-20|DirectHit	CDD225155|13-138:1.87e-13|DirectHit
12	2.A.129.2.1-KKK44903:157	CDD427738|57-151:1.42e-05|DirectHit	CDD225155|23-156:5.8e-08|Rescued1
13	2.A.129.2.2-OLS23552:143	CDD427738|21-132:4.3e-10|Rescued1	CDD225155|21-132:0.00093|Rescued1
14	2.A.129.2.3-WP_111865303:137	CDD427738|45-132:4.8e-06|Rescued1	CDD225155|10-135:0.0038|Rescued2
15	2.A.129.2.4-WP_086951747:190	CDD427738|29-178:5.25e-08|DirectHit	CDD225155|19-182:9.95e-08|DirectHit
