# CDD223496:  DirectHits:  11    Rescued Proteins:  4    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD235175:  DirectHits:  11    Rescued Proteins:  4    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD226809:  DirectHits:  8    Rescued Proteins:  7    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD435022:  DirectHits:  11    Rescued Proteins:  4    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD173412:  DirectHits:  10    Rescued Proteins:  5    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD430825:  DirectHits:  8    Rescued Proteins:  7    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD179385:  DirectHits:  10    Rescued Proteins:  5    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD224117:  DirectHits:  13    Rescued Proteins:  2    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD275316:  DirectHits:  9    Rescued Proteins:  6    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD274009:  DirectHits:  11    Rescued Proteins:  4    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
# CDD274008:  DirectHits:  12    Rescued Proteins:  3    Prots with Domain in 9.B.392:  15 (100.0% from a total of 15)
1	9.B.392.1.1-Q8TBA6:731	CDD224117|220-537:1.69e-12|220-625:2.67e-07|221-625:7.63e-08|233-625:4.66e-14|234-572:4.11e-12|251-625:1.57e-13|DirectHit	CDD274008|219-570:1.63e-14|223-625:1.44e-09|234-540:2.56e-14|250-624:1.12e-12|284-625:1.87e-12|DirectHit	CDD274009|234-611:2.23e-12|306-616:9.31e-12|DirectHit	CDD435022|223-574:4.66e-08|312-624:3.28e-04|DirectHit	CDD223496|222-625:6.06e-10|223-576:2.45e-05|226-623:3.30e-12|DirectHit	CDD235175|220-608:3.02e-08|223-624:1.28e-07|223-580:5.13e-06|224-625:5.86e-09|DirectHit	CDD173412|244-583:1.12e-04|253-625:3.22e-06|DirectHit	CDD179385|223-624:7.20e-07|278-615:1.32e-04|DirectHit	CDD275316|220-621:7.32e-07|223-613:6.00e-08|DirectHit	CDD430825|420-724:2.25e-157|DirectHit	CDD226809|223-485:7.46e-06|224-533:0.001|347-574:6.12e-06|DirectHit
2	9.B.392.1.2-NP_651250:516	CDD224117|109-411:1.90e-13|109-423:7.82e-13|183-423:1.48e-04|DirectHit	CDD274008|108-344:1.76e-09|110-346:9.14e-05|131-417:1.66e-12|209-432:1.44e-06|DirectHit	CDD274009|104-344:3.40e-05|109-440:3.68e-05|109-418:2.36e-04|DirectHit	CDD435022|110-347:8.61e-05|DirectHit	CDD223496|102-412:8.44e-04|DirectHit	CDD235175|31-418:5e-07|Rescued1	CDD173412|42-446:1.9e-07|Rescued1	CDD179385|31-442:1.9e-07|Rescued1	CDD275316|31-428:6.4e-07|Rescued1	CDD430825|210-515:2.97e-46|DirectHit	CDD226809|121-423:2.6e-06|Rescued1
3	9.B.392.1.3-XP_004335902:554	CDD224117|1-281:2.00e-11|6-278:8.07e-11|6-273:7.24e-08|7-330:1.88e-12|7-414:4.91e-04|16-352:1.86e-13|31-355:1.24e-13|54-408:2.75e-12|79-413:1.63e-14|165-409:1.02e-04|DirectHit	CDD274008|7-300:1.11e-11|7-410:7.77e-04|9-319:1.11e-11|29-394:4.42e-12|30-322:9.17e-11|123-400:1.68e-12|DirectHit	CDD274009|7-378:2.66e-08|31-369:2.96e-12|74-407:2.60e-09|187-412:0.001|DirectHit	CDD435022|20-473:1.51e-07|90-409:3.79e-05|129-354:1.84e-06|DirectHit	CDD223496|4-387:9.81e-09|22-395:5.72e-08|61-348:1.50e-05|DirectHit	CDD235175|98-335:9.64e-07|100-348:3.81e-06|DirectHit	CDD173412|18-365:8.33e-06|29-446:3.62e-05|DirectHit	CDD179385|7-411:9.28e-05|51-348:1.94e-04|DirectHit	CDD275316|2-380:1.12e-13|3-338:8.46e-06|95-371:8.34e-05|DirectHit	CDD430825|192-521:5.61e-42|DirectHit	CDD226809|152-405:3.93e-06|DirectHit
4	9.B.392.1.4-XP_013758121:757	CDD224117|233-628:1.3e-06|Rescued1	CDD274008|233-629:1.7e-06|Rescued1	CDD274009|233-629:1.4e-05|Rescued1	CDD435022|214-686:2.2e-06|Rescued1	CDD223496|233-629:2.1e-06|Rescued1	CDD235175|233-629:2.4e-06|Rescued1	CDD173412|13-662:1.9e-09|Rescued1	CDD179385|233-629:2.8e-06|Rescued1	CDD275316|233-617:5.5e-06|Rescued1	CDD430825|416-738:1.91e-28|DirectHit	CDD226809|233-616:6.5e-05|Rescued1
5	9.B.392.1.5-XP_012195262:541	CDD224117|133-459:3.17e-05|135-496:3.45e-06|142-455:7.52e-06|DirectHit	CDD274008|131-449:2.53e-05|136-447:7.35e-07|DirectHit	CDD274009|120-426:0.009|Rescued1	CDD435022|7-496:0.0026|Rescued2	CDD223496|120-433:0.0059|Rescued1	CDD235175|137-430:0.0053|Rescued1	CDD173412|7-484:0.0021|Rescued1	CDD179385|31-510:0.0033|Rescued2	CDD275316|76-510:0.0018|Rescued2	CDD430825|413-521:9.99e-08|DirectHit	CDD226809|96-482:0.0069|Rescued2
6	9.B.392.2.1-KAA8496688:853	CDD224117|352-741:4.75e-05|412-762:1.38e-13|DirectHit	CDD274008|108-779:1.7e-06|Rescued1	CDD274009|377-774:5.80e-12|DirectHit	CDD435022|392-739:5.27e-04|DirectHit	CDD223496|377-745:2.25e-05|DirectHit	CDD235175|353-730:3.91e-04|DirectHit	CDD173412|346-728:9.14e-08|DirectHit	CDD179385|344-721:2.17e-04|388-741:2.43e-10|DirectHit	CDD275316|379-661:3.58e-07|DirectHit	CDD430825|580-833:1.45e-13|DirectHit	CDD226809|380-792:1.10e-06|494-739:7.52e-05|DirectHit
7	9.B.392.2.2-Q8S8N9:707	CDD224117|247-610:9.75e-11|259-591:8.31e-10|259-543:9.79e-09|335-626:8.04e-07|386-694:7.10e-05|DirectHit	CDD274008|264-607:4.06e-10|283-607:1.48e-10|DirectHit	CDD274009|242-560:4.08e-10|258-603:2.40e-05|DirectHit	CDD435022|228-548:6.29e-06|DirectHit	CDD223496|244-645:3.60e-04|261-607:2.49e-05|DirectHit	CDD235175|296-605:1.07e-06|DirectHit	CDD173412|229-566:2.46e-05|232-646:9.93e-08|246-618:7.95e-06|300-621:8.67e-07|DirectHit	CDD179385|250-591:4.22e-04|DirectHit	CDD275316|178-674:8.7e-05|Rescued1	CDD430825|469-682:3.80e-17|DirectHit	CDD226809|339-567:7.73e-04|DirectHit
8	9.B.392.2.3-XP_009160393:603	CDD224117|2-301:1.00e-09|18-355:6.37e-11|21-340:9.88e-12|23-296:1.42e-09|39-355:1.80e-11|78-354:5.23e-11|DirectHit	CDD274008|20-288:1.33e-11|23-301:2.77e-08|65-363:1.30e-09|65-355:1.70e-09|101-356:1.11e-09|DirectHit	CDD274009|26-355:8.99e-10|39-314:6.66e-10|DirectHit	CDD435022|34-355:8.98e-06|DirectHit	CDD223496|12-311:3.57e-05|20-340:3.82e-06|23-344:3.93e-05|38-357:7.97e-07|DirectHit	CDD235175|68-338:3.08e-04|90-345:1.83e-04|DirectHit	CDD173412|14-353:1.87e-05|58-347:8.65e-05|173-546:2.87e-04|DirectHit	CDD179385|2-338:4.88e-08|DirectHit	CDD275316|48-338:7.89e-04|53-345:6.14e-06|DirectHit	CDD430825|136-420:2.1e-05|Rescued1	CDD226809|42-285:6.22e-07|DirectHit
9	9.B.392.3.1-AAX95655:687	CDD224117|13-543:8.69e-06|30-543:4.32e-08|68-443:2.89e-12|105-440:1.83e-10|128-443:4.79e-08|161-529:2.55e-07|184-529:4.24e-12|243-530:5.87e-06|DirectHit	CDD274008|16-530:5.43e-08|16-305:5.80e-05|107-445:4.14e-13|110-441:1.90e-09|245-539:4.75e-04|DirectHit	CDD274009|110-434:5.47e-08|240-598:2.35e-05|241-534:1.38e-04|DirectHit	CDD435022|30-526:2.97e-04|64-542:6.90e-04|107-440:1.77e-05|139-520:2.38e-04|DirectHit	CDD223496|16-440:6.00e-09|DirectHit	CDD235175|107-538:4.77e-05|115-441:3.95e-07|115-529:1.02e-04|141-526:5.21e-04|DirectHit	CDD173412|73-526:1.88e-07|110-601:4.36e-05|111-434:5.87e-06|DirectHit	CDD179385|113-458:1.06e-06|130-424:2.11e-04|DirectHit	CDD275316|109-445:3.54e-06|DirectHit	CDD430825|114-282:0.0047|Rescued1	CDD226809|94-323:0.00017|Rescued1
10	9.B.392.3.2-AJS33911:679	CDD224117|14-331:5.22e-07|15-354:6.91e-07|69-454:2.26e-11|107-455:3.67e-14|224-568:3.15e-07|DirectHit	CDD274008|59-358:1.34e-08|71-432:1.87e-06|DirectHit	CDD274009|59-459:3.85e-08|65-439:3.66e-07|DirectHit	CDD435022|31-543:6.6e-12|Rescued1	CDD223496|14-466:2.48e-08|14-350:2.14e-06|15-440:1.51e-08|15-431:4.81e-06|DirectHit	CDD235175|18-441:7.05e-06|23-447:1.25e-04|DirectHit	CDD173412|75-588:2e-09|Rescued1	CDD179385|65-442:6.17e-05|DirectHit	CDD275316|24-548:4.54e-05|DirectHit	CDD430825|118-631:0.0093|Rescued2	CDD226809|95-315:1.94e-05|DirectHit
