# CDD429442:  DirectHits:  12    Rescued Proteins:  7    Prots with Domain in 1.B.16:  19 (100.0% from a total of 19)
1	1.B.16.1.1-O05123:390	CDD429442|43-390:8.8e-21|Rescued1
2	1.B.16.1.2-Q748R2:406	CDD429442|42-406:8.43e-09|DirectHit
3	1.B.16.1.3-Q1DEU2:457	CDD429442|115-457:7.37e-26|DirectHit
4	1.B.16.1.4-Q2IMR5:377	CDD429442|57-220:7.92e-07|DirectHit
5	1.B.16.1.5-M1RT77:455	CDD429442|38-455:1.9e-10|Rescued1
6	1.B.16.1.6-F8C5L7:445	CDD429442|64-414:2.69e-10|DirectHit
7	1.B.16.1.7-D3SPP9:527	CDD429442|59-527:8.6e-11|Rescued1
8	1.B.16.1.8-E6W6H4:396	CDD429442|57-396:1.36e-10|DirectHit
9	1.B.16.1.9-C1ADV7:428	CDD429442|96-428:2.18e-19|DirectHit
10	1.B.16.1.10-D8PFV8:500	CDD429442|137-499:7.76e-19|DirectHit
11	1.B.16.1.11-F8C3X3:472	CDD429442|38-472:2.3e-08|Rescued1
12	1.B.16.2.1-H8XVA7:398	CDD429442|49-391:5.59e-05|DirectHit
13	1.B.16.2.2-B0S9R9:451	CDD429442|121-449:5.44e-07|DirectHit
14	1.B.16.2.3-B9M986:413	CDD429442|71-413:6.58e-21|DirectHit
15	1.B.16.2.4-H1NW38:421	CDD429442|65-274:4.45e-04|DirectHit
16	1.B.16.2.5-I3ZGF0:515	CDD429442|155-483:1.8e-10|Rescued1
17	1.B.16.2.6-O66915:414	CDD429442|56-414:1.89e-87|DirectHit
18	1.B.16.2.7-D8PHW0:581	CDD429442|148-538:2.9e-15|Rescued1
19	1.B.16.2.8-Q7UGJ0:579	CDD429442|223-579:2.6e-20|Rescued1
