# CDD425520:  DirectHits:  6    Rescued Proteins:  4    Prots with Domain in 8.A.77:  10 (76.9% from a total of 13)
# CDD239801:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 8.A.77:  8 (61.5% from a total of 13)
# CDD214743:  DirectHits:  6    Rescued Proteins:  3    Prots with Domain in 8.A.77:  9 (69.2% from a total of 13)
# CDD239797:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 8.A.77:  8 (61.5% from a total of 13)
# CDD433328:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 8.A.77:  9 (69.2% from a total of 13)
# CDD214490:  DirectHits:  6    Rescued Proteins:  4    Prots with Domain in 8.A.77:  10 (76.9% from a total of 13)
# CDD372673:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 8.A.77:  8 (61.5% from a total of 13)
# CDD426256:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 8.A.77:  8 (61.5% from a total of 13)
# CDD239795:  DirectHits:  8    Rescued Proteins:  2    Prots with Domain in 8.A.77:  10 (76.9% from a total of 13)
# CDD238124:  DirectHits:  9    Rescued Proteins:  3    Prots with Domain in 8.A.77:  12 (92.3% from a total of 13)
# CDD426325:  DirectHits:  8    Rescued Proteins:  0    Prots with Domain in 8.A.77:  8 (61.5% from a total of 13)
# CDD239800:  DirectHits:  7    Rescued Proteins:  1    Prots with Domain in 8.A.77:  8 (61.5% from a total of 13)
1	8.A.77.1.1-O75078:769	CDD238124|239-425:1.1e-26|Rescued1	CDD239801|239-435:6.28e-14|DirectHit	CDD239795|239-426:3.56e-16|DirectHit	CDD239797|239-436:4.45e-70|DirectHit	CDD372673|238-415:1.35e-05|DirectHit	CDD433328|268-379:1.02e-08|DirectHit	CDD426325|46-189:9.29e-34|DirectHit	CDD426256|239-438:2.03e-91|DirectHit	CDD239800|240-434:3.97e-07|DirectHit	CDD425520|453-526:1.67e-29|DirectHit	CDD214490|453-528:3.85e-28|DirectHit	CDD214743|530-668:7.16e-46|DirectHit
2	8.A.77.1.2-P78536:824	CDD238124|223-462:2.71e-28|DirectHit	CDD239801|227-469:1.54e-13|DirectHit	CDD239795|223-463:1.52e-59|DirectHit	CDD239797|226-469:1.03e-19|DirectHit	CDD372673|223-451:1.06e-26|DirectHit	CDD433328|303-416:9.38e-10|DirectHit	CDD426325|50-167:1.23e-05|DirectHit	CDD426256|227-473:6.67e-12|DirectHit	CDD239800|226-471:1.58e-06|DirectHit	CDD425520|484-558:6.30e-22|DirectHit	CDD214490|484-560:1.06e-24|DirectHit	CDD214743|485-643:0.0028|Rescued1
3	8.A.77.1.3-Q9UKQ2:775	CDD238124|204-386:1.72e-19|DirectHit	CDD239801|204-396:3.24e-29|DirectHit	CDD239795|204-388:2.32e-38|DirectHit	CDD239797|204-397:2.95e-92|DirectHit	CDD372673|209-376:1.21e-12|DirectHit	CDD433328|236-350:1.65e-14|DirectHit	CDD426325|29-156:2.39e-40|DirectHit	CDD426256|204-399:4.29e-82|DirectHit	CDD239800|205-350:1.00e-11|DirectHit	CDD425520|416-488:2.79e-35|DirectHit	CDD214490|416-490:1.64e-33|DirectHit	CDD214743|493-620:5.91e-44|DirectHit
4	8.A.77.1.4-O14672:748	CDD238124|304-437:6.56e-11|DirectHit	CDD239801|267-451:1.69e-05|DirectHit	CDD239795|220-445:1.20e-18|DirectHit	CDD239797|224-451:1.10e-14|DirectHit	CDD372673|220-433:1.33e-25|DirectHit	CDD433328|244-394:2.08e-32|DirectHit	CDD426325|46-156:3.53e-09|DirectHit	CDD426256|224-451:6.32e-08|DirectHit	CDD239800|224-444:6.87e-08|DirectHit	CDD425520|466-545:1.18e-20|DirectHit	CDD214490|466-545:6.40e-24|DirectHit	CDD214743|433-645:0.007|Rescued2
5	8.A.77.1.5-O43184:909	CDD238124|214-398:8.51e-18|DirectHit	CDD239801|214-413:3.39e-33|DirectHit	CDD239795|214-405:3.68e-34|DirectHit	CDD239797|214-414:4.43e-98|DirectHit	CDD372673|212-385:3.44e-19|DirectHit	CDD433328|241-361:2.51e-13|DirectHit	CDD426325|60-159:6.89e-33|DirectHit	CDD426256|214-416:1.65e-105|DirectHit	CDD239800|215-412:7.4e-49|Rescued1	CDD425520|443-505:1.46e-28|DirectHit	CDD214490|439-507:2.14e-29|DirectHit	CDD214743|510-652:1.17e-54|DirectHit
6	8.A.77.1.6-Q9UHI8:967	CDD238124|351-455:1.53e-14|DirectHit	CDD239801|258-463:1.26e-112|DirectHit	CDD239795|258-456:2.64e-39|DirectHit	CDD239797|258-465:2.12e-27|DirectHit	CDD372673|256-419:3.62e-12|DirectHit	CDD433328|301-412:1.24e-09|DirectHit	CDD426325|66-166:2.92e-23|DirectHit	CDD426256|258-467:1.11e-21|DirectHit	CDD239800|259-463:6.74e-12|DirectHit	CDD425520|656-724:0.0029|Rescued2	CDD214490|656-724:0.0024|Rescued2	CDD214743|468-548:1.02e-15|DirectHit
7	8.A.77.1.7-O75173:837	CDD238124|301-416:9.62e-15|DirectHit	CDD239801|218-425:3.66e-106|DirectHit	CDD239795|218-417:5.54e-38|DirectHit	CDD239797|218-426:4.04e-23|DirectHit	CDD372673|223-393:8.59e-10|DirectHit	CDD433328|240-372:1.36e-08|DirectHit	CDD426325|60-181:1.22e-10|DirectHit	CDD426256|218-428:1.35e-17|DirectHit	CDD239800|219-416:4.96e-11|DirectHit	CDD425520|617-688:0.00068|Rescued2	CDD214490|617-688:0.00054|Rescued2	CDD214743|438-509:8.01e-08|490-659:3.00e-05|DirectHit
8	8.A.77.1.8-XP_021194905:3073	CDD238124|Nohit	CDD239801|Nohit	CDD239795|2623-2719:0.005|Rescued2	CDD239797|Nohit	CDD372673|Nohit	CDD433328|6-85:0.0044|Rescued1	CDD426325|Nohit	CDD426256|Nohit	CDD239800|Nohit	CDD425520|177-236:2.1e-05|1546-1614:0.0033|2243-2319:0.0021|2650-2805:0.0038|Rescued2	CDD214490|177-236:1.9e-05|657-731:0.00075|1546-1614:0.0024|2236-2319:0.0034|2650-2805:0.0036|Rescued2	CDD214743|66-193:2.3e-24|Rescued1
9	8.A.77.1.10-Q13444:863	CDD238124|213-402:1.10e-10|DirectHit	CDD239801|213-411:4.78e-27|DirectHit	CDD239795|213-402:2.45e-29|DirectHit	CDD239797|213-411:3.42e-82|DirectHit	CDD372673|212-378:1.04e-13|DirectHit	CDD433328|251-359:7.19e-11|DirectHit	CDD426325|62-154:7.44e-17|DirectHit	CDD426256|213-413:3.33e-72|DirectHit	CDD239800|214-396:6.23e-08|DirectHit	CDD425520|430-503:1.11e-34|DirectHit	CDD214490|430-504:2.48e-35|DirectHit	CDD214743|508-649:3.07e-45|DirectHit
10	8.A.77.2.1-Q16820:701	CDD238124|74-253:2.65e-17|DirectHit	CDD239801|Nohit	CDD239795|Nohit	CDD239797|Nohit	CDD372673|Nohit	CDD433328|Nohit	CDD426325|Nohit	CDD426256|Nohit	CDD239800|Nohit	CDD425520|Nohit	CDD214490|Nohit	CDD214743|Nohit
