# CDD320686:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320682:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD179418:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320696:  DirectHits:  9    Rescued Proteins:  0    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD223575:  DirectHits:  9    Rescued Proteins:  0    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320691:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320697:  DirectHits:  9    Rescued Proteins:  0    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320688:  DirectHits:  9    Rescued Proteins:  0    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320698:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320687:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD426263:  DirectHits:  9    Rescued Proteins:  0    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320704:  DirectHits:  9    Rescued Proteins:  0    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320699:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320689:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320684:  DirectHits:  8    Rescued Proteins:  1    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
# CDD320694:  DirectHits:  9    Rescued Proteins:  0    Prots with Domain in 9.B.1:  9 (60.0% from a total of 15)
1	9.B.1.1.1-O75844:475	CDD320696|327-470:8.67e-13|DirectHit	CDD223575|124-475:7.62e-25|DirectHit	CDD320697|230-469:7.86e-08|DirectHit	CDD320694|326-470:4.32e-13|DirectHit	CDD320688|327-469:2.71e-06|DirectHit	CDD320704|91-438:5.05e-13|DirectHit	CDD426263|228-472:1.22e-60|DirectHit	CDD320698|328-469:1.45e-07|DirectHit	CDD320691|327-470:7.10e-10|DirectHit	CDD320699|327-470:1.58e-06|DirectHit	CDD320682|234-439:2.98e-13|DirectHit	CDD179418|327-474:7.05e-05|DirectHit	CDD320686|234-470:3.97e-06|DirectHit	CDD320687|327-470:8.01e-06|DirectHit	CDD320689|118-471:2.53e-103|DirectHit	CDD320684|252-470:5.30e-07|DirectHit
2	9.B.1.1.2-Q8RX88:424	CDD320696|236-417:8.70e-17|DirectHit	CDD223575|144-423:1.61e-27|DirectHit	CDD320697|187-417:3.77e-16|DirectHit	CDD320694|219-416:2.83e-08|DirectHit	CDD320688|224-416:4.83e-12|DirectHit	CDD320704|169-373:2.20e-14|DirectHit	CDD426263|213-419:9.70e-66|DirectHit	CDD320698|250-415:3.62e-05|DirectHit	CDD320691|261-416:1.66e-13|DirectHit	CDD320699|274-417:6.03e-09|DirectHit	CDD320682|219-303:5.51e-13|DirectHit	CDD179418|218-419:2.42e-04|DirectHit	CDD320686|223-415:1.00e-06|DirectHit	CDD320687|274-416:4.76e-09|DirectHit	CDD320689|103-413:2.60e-54|DirectHit	CDD320684|218-417:3.57e-14|DirectHit
3	9.B.1.1.3-P47154:453	CDD320696|198-445:3.37e-13|DirectHit	CDD223575|142-453:3.02e-34|DirectHit	CDD320697|207-445:3.18e-16|DirectHit	CDD320694|231-444:1.82e-12|DirectHit	CDD320688|237-444:2.46e-08|DirectHit	CDD320704|169-444:2.56e-17|DirectHit	CDD426263|226-446:2.11e-45|DirectHit	CDD320698|207-440:2.69e-08|DirectHit	CDD320691|229-444:1.07e-11|DirectHit	CDD320699|225-445:2.33e-08|DirectHit	CDD320682|232-304:1.09e-19|DirectHit	CDD179418|183-448:8.1e-39|Rescued1	CDD320686|225-314:7.01e-06|DirectHit	CDD320687|236-444:4.68e-07|DirectHit	CDD320689|138-444:2.22e-45|DirectHit	CDD320684|231-448:9e-39|Rescued1
4	9.B.1.1.4-J0MMU8:407	CDD320696|236-403:2.31e-12|DirectHit	CDD223575|54-407:2.76e-30|DirectHit	CDD320697|179-403:3.97e-12|DirectHit	CDD320694|240-402:4.68e-17|DirectHit	CDD320688|240-402:2.28e-07|DirectHit	CDD320704|94-368:8.21e-13|DirectHit	CDD426263|203-406:9.97e-58|DirectHit	CDD320698|239-402:2.58e-10|DirectHit	CDD320691|251-402:5.78e-07|DirectHit	CDD320699|264-403:3.10e-10|DirectHit	CDD320682|236-284:3.05e-07|DirectHit	CDD179418|240-407:1.70e-05|DirectHit	CDD320686|202-402:5.6e-20|Rescued1	CDD320687|236-402:3.22e-10|DirectHit	CDD320689|95-402:4.77e-33|DirectHit	CDD320684|227-403:3.15e-07|DirectHit
5	9.B.1.1.5-Q8EXN4:295	CDD320696|90-292:5.78e-28|DirectHit	CDD223575|7-291:2.63e-59|DirectHit	CDD320697|55-290:4.79e-39|DirectHit	CDD320694|51-291:9.68e-128|DirectHit	CDD320688|92-290:2.35e-22|DirectHit	CDD320704|9-293:9.55e-12|DirectHit	CDD426263|84-292:6.21e-36|DirectHit	CDD320698|69-290:1.28e-32|DirectHit	CDD320691|85-292:8.36e-17|DirectHit	CDD320699|55-291:9.95e-56|DirectHit	CDD320682|91-155:3.69e-06|DirectHit	CDD179418|33-290:4.01e-45|DirectHit	CDD320686|58-291:2.22e-54|DirectHit	CDD320687|86-291:2.81e-20|DirectHit	CDD320689|48-291:1.97e-10|DirectHit	CDD320684|86-292:3.66e-19|DirectHit
6	9.B.1.1.6-P23894:293	CDD320696|35-287:5.59e-28|DirectHit	CDD223575|1-287:1.79e-65|DirectHit	CDD320697|77-286:8.04e-40|DirectHit	CDD320694|43-287:2.18e-137|DirectHit	CDD320688|86-287:4.53e-24|DirectHit	CDD320704|4-245:3.00e-09|DirectHit	CDD426263|74-287:1.04e-35|DirectHit	CDD320698|77-287:1.92e-25|DirectHit	CDD320691|94-287:3.39e-14|DirectHit	CDD320699|47-287:7.64e-58|DirectHit	CDD320682|105-146:4.16e-06|DirectHit	CDD179418|2-287:3.99e-46|DirectHit	CDD320686|50-287:4.36e-63|DirectHit	CDD320687|86-287:8.86e-14|DirectHit	CDD320689|3-288:8.67e-08|DirectHit	CDD320684|86-287:6.33e-11|DirectHit
7	9.B.1.1.7-AKM80859:300	CDD320696|73-282:4.75e-18|DirectHit	CDD223575|9-281:5.96e-15|DirectHit	CDD320697|73-209:7.00e-11|DirectHit	CDD320694|106-280:5.29e-08|DirectHit	CDD320688|115-280:1.14e-13|DirectHit	CDD320704|13-205:1.86e-10|DirectHit	CDD426263|107-282:9.95e-16|DirectHit	CDD320698|115-283:4.4e-06|Rescued1	CDD320691|132-223:2.23e-05|DirectHit	CDD320699|71-283:1.7e-06|Rescued1	CDD320682|109-185:1.81e-06|DirectHit	CDD179418|30-175:4.60e-07|DirectHit	CDD320686|119-281:1.56e-11|DirectHit	CDD320687|106-280:5.70e-08|DirectHit	CDD320689|148-280:4.63e-08|DirectHit	CDD320684|95-282:2.19e-46|DirectHit
8	9.B.1.1.8-KKK41357:841	CDD320696|220-407:3.84e-13|DirectHit	CDD223575|154-474:5.48e-18|DirectHit	CDD320697|223-408:9.32e-14|DirectHit	CDD320694|232-472:5.53e-05|DirectHit	CDD320688|269-474:1.26e-13|DirectHit	CDD320704|126-404:4.51e-04|DirectHit	CDD426263|249-474:6.32e-14|DirectHit	CDD320698|278-473:1.34e-06|DirectHit	CDD320691|271-438:1.4e-06|Rescued1	CDD320699|305-472:7.53e-07|DirectHit	CDD320682|258-404:5.6e-08|Rescued1	CDD179418|306-472:1.07e-04|DirectHit	CDD320686|252-331:1.98e-05|DirectHit	CDD320687|271-438:1.8e-05|Rescued1	CDD320689|272-408:4.23e-07|DirectHit	CDD320684|252-474:3.73e-09|DirectHit
9	9.B.1.1.9-WP_143449298:405	CDD320696|153-394:2.23e-51|DirectHit	CDD223575|105-398:3.25e-27|DirectHit	CDD320697|211-395:1.47e-19|DirectHit	CDD320694|158-394:1.12e-17|DirectHit	CDD320688|210-395:1.97e-15|DirectHit	CDD320704|117-355:4.92e-08|DirectHit	CDD426263|214-395:1.60e-20|DirectHit	CDD320698|220-395:2.46e-10|DirectHit	CDD320691|220-395:1.47e-11|DirectHit	CDD320699|211-394:6.41e-20|DirectHit	CDD320682|212-256:6.51e-04|DirectHit	CDD179418|122-394:4.69e-14|DirectHit	CDD320686|153-392:3.99e-19|DirectHit	CDD320687|211-395:1.26e-07|DirectHit	CDD320689|101-394:8.2e-07|Rescued1	CDD320684|206-395:3.70e-08|DirectHit
10	9.B.1.2.1-Q03530:315	CDD320696|Nohit	CDD223575|Nohit	CDD320697|Nohit	CDD320694|Nohit	CDD320688|Nohit	CDD320704|Nohit	CDD426263|Nohit	CDD320698|Nohit	CDD320691|Nohit	CDD320699|Nohit	CDD320682|Nohit	CDD179418|Nohit	CDD320686|Nohit	CDD320687|Nohit	CDD320689|Nohit	CDD320684|Nohit
