# CDD227927:  DirectHits:  14    Rescued Proteins:  1    Prots with Domain in 8.A.131:  15 (100.0% from a total of 15)
# CDD238113:  DirectHits:  15    Rescued Proteins:  0    Prots with Domain in 8.A.131:  15 (100.0% from a total of 15)
# CDD395042:  DirectHits:  15    Rescued Proteins:  0    Prots with Domain in 8.A.131:  15 (100.0% from a total of 15)
# CDD214473:  DirectHits:  15    Rescued Proteins:  0    Prots with Domain in 8.A.131:  15 (100.0% from a total of 15)
1	8.A.131.1.1-P57727:454	CDD395042|217-444:3.53e-72|DirectHit	CDD214473|216-444:3.29e-104|DirectHit	CDD238113|217-447:4.29e-104|DirectHit	CDD227927|194-448:7.07e-33|DirectHit
2	8.A.131.1.2-XP_026871449:321	CDD395042|48-286:4.14e-71|DirectHit	CDD214473|47-286:1.69e-93|DirectHit	CDD238113|48-289:2.51e-99|DirectHit	CDD227927|47-286:8.92e-32|DirectHit
3	8.A.131.1.3-XP_024602704:369	CDD395042|87-313:3.64e-66|DirectHit	CDD214473|86-313:1.56e-86|DirectHit	CDD238113|87-316:5.73e-88|DirectHit	CDD227927|85-328:2.01e-37|DirectHit
4	8.A.131.1.4-Q9Y5Y6:855	CDD395042|615-849:3.22e-71|DirectHit	CDD214473|614-849:1.19e-94|DirectHit	CDD238113|615-852:8.65e-98|DirectHit	CDD227927|614-849:4.28e-31|DirectHit
5	8.A.131.1.5-P00756:261	CDD395042|25-253:5.56e-80|DirectHit	CDD214473|24-253:7.44e-98|DirectHit	CDD238113|25-256:2.20e-98|DirectHit	CDD227927|6-257:1.63e-28|DirectHit
6	8.A.131.1.6-O15393:492	CDD395042|256-484:1.94e-66|DirectHit	CDD214473|255-484:1.96e-95|DirectHit	CDD238113|256-487:1.18e-97|DirectHit	CDD227927|254-488:1.06e-24|DirectHit
7	8.A.131.1.7-Q6ZMR5:421	CDD395042|190-415:4.38e-69|DirectHit	CDD214473|189-415:2.29e-92|DirectHit	CDD238113|190-418:4.23e-94|DirectHit	CDD227927|189-419:2.12e-25|DirectHit
8	8.A.131.1.8-Q9Y5Q5:1042	CDD395042|802-1030:4.32e-62|DirectHit	CDD214473|801-1030:1.84e-81|DirectHit	CDD238113|802-1033:2.26e-84|DirectHit	CDD227927|782-1033:7.90e-23|DirectHit
9	8.A.131.1.9-XP_006860226:263	CDD395042|34-256:1.30e-84|DirectHit	CDD214473|33-256:4.93e-102|DirectHit	CDD238113|34-259:8.42e-103|DirectHit	CDD227927|32-256:6.38e-26|DirectHit
10	8.A.131.1.10-XP_007101883:433	CDD395042|201-425:1.28e-66|DirectHit	CDD214473|200-425:3.76e-98|DirectHit	CDD238113|201-428:5.43e-93|DirectHit	CDD227927|199-431:1.25e-27|DirectHit
11	8.A.131.1.12-P05981:417	CDD395042|163-400:1.16e-72|DirectHit	CDD214473|162-400:5.58e-102|DirectHit	CDD238113|163-400:7.30e-104|DirectHit	CDD227927|161-400:3.85e-27|DirectHit
12	8.A.131.1.13-Q9BYE2:586	CDD395042|326-554:9.32e-70|DirectHit	CDD214473|325-554:8.98e-99|DirectHit	CDD238113|326-557:1.15e-96|DirectHit	CDD227927|323-558:7.90e-25|DirectHit
13	8.A.131.1.14-P83748:304	CDD395042|31-266:2.12e-78|DirectHit	CDD214473|30-266:3.88e-95|DirectHit	CDD238113|31-269:1.25e-103|DirectHit	CDD227927|30-268:1.72e-31|DirectHit
14	8.A.131.1.15-P00738:406	CDD395042|162-399:1.87e-51|DirectHit	CDD214473|161-399:8.36e-58|DirectHit	CDD238113|162-402:2.22e-62|DirectHit	CDD227927|144-405:5.3e-19|Rescued1
15	8.A.131.1.16-B0FXM1:262	CDD395042|25-248:3.53e-63|DirectHit	CDD214473|25-248:5.57e-82|DirectHit	CDD238113|25-251:1.94e-82|DirectHit	CDD227927|11-248:8.85e-22|DirectHit
