# CDD438028:  DirectHits:  6    Rescued Proteins:  0    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD438029:  DirectHits:  5    Rescued Proteins:  1    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD395794:  DirectHits:  5    Rescued Proteins:  1    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD438017:  DirectHits:  5    Rescued Proteins:  1    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD438053:  DirectHits:  5    Rescued Proteins:  1    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD350689:  DirectHits:  6    Rescued Proteins:  0    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD214692:  DirectHits:  6    Rescued Proteins:  0    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD350193:  DirectHits:  6    Rescued Proteins:  0    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD438052:  DirectHits:  6    Rescued Proteins:  0    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
# CDD238843:  DirectHits:  6    Rescued Proteins:  0    Prots with Domain in 1.A.53:  6 (54.5% from a total of 11)
1	1.A.53.1.1-Q5QRI8:63	CDD238843|Nohit	CDD438052|Nohit	CDD350689|Nohit	CDD214692|Nohit	CDD438028|Nohit	CDD350193|Nohit	CDD438053|Nohit	CDD438029|Nohit	CDD438017|Nohit	CDD395794|Nohit
2	1.A.53.1.2-B6DNW4:63	CDD238843|Nohit	CDD438052|Nohit	CDD350689|Nohit	CDD214692|Nohit	CDD438028|Nohit	CDD350193|Nohit	CDD438053|Nohit	CDD438029|Nohit	CDD438017|Nohit	CDD395794|Nohit
3	1.A.53.1.3-I1ZAT0:2937	CDD238843|2471-2751:1.29e-32|DirectHit	CDD438052|2369-2882:0.0|DirectHit	CDD350689|1205-1347:5.74e-38|DirectHit	CDD214692|1198-1334:6.67e-14|DirectHit	CDD438028|2489-2771:3.41e-104|DirectHit	CDD350193|1343-1463:5.32e-30|DirectHit	CDD438053|2361-2850:5.79e-84|DirectHit	CDD438029|2548-2720:2.16e-08|DirectHit	CDD438017|2632-2677:5.9e-26|Rescued1	CDD395794|2358-2867:1.82e-131|DirectHit
4	1.A.53.1.4-Q9YS30:3898	CDD238843|3419-3707:1.24e-47|DirectHit	CDD438052|3462-3678:1.56e-08|DirectHit	CDD350689|1808-1959:1.41e-59|DirectHit	CDD214692|1813-1976:2.43e-15|DirectHit	CDD438028|3436-3732:1.30e-99|DirectHit	CDD350193|1991-2098:3.06e-07|DirectHit	CDD438053|3332-3749:5.23e-08|DirectHit	CDD438029|3443-3678:6.58e-21|DirectHit	CDD438017|3577-3635:1.45e-06|DirectHit	CDD395794|3299-3707:1.6e-164|Rescued1
5	1.A.53.1.5-Q96662:3907	CDD238843|3427-3715:1.01e-48|DirectHit	CDD438052|3470-3686:2.50e-06|DirectHit	CDD350689|1817-1968:3.67e-54|DirectHit	CDD214692|1822-1978:3.75e-15|DirectHit	CDD438028|3444-3740:3.08e-114|DirectHit	CDD350193|1987-2107:2.27e-08|DirectHit	CDD438053|3328-3756:0|Rescued1	CDD438029|3451-3686:2.18e-21|DirectHit	CDD438017|3585-3643:1.29e-05|DirectHit	CDD395794|3435-3702:1.79e-14|DirectHit
6	1.A.53.1.6-O92530:3013	CDD238843|2538-2820:7.80e-40|DirectHit	CDD438052|2436-2953:0.0|DirectHit	CDD350689|1222-1364:3.56e-49|DirectHit	CDD214692|1215-1353:5.77e-14|DirectHit	CDD438028|2556-2840:7.87e-136|DirectHit	CDD350193|1360-1501:1.42e-49|DirectHit	CDD438053|2428-2919:6.40e-96|DirectHit	CDD438029|2617-2760:2.28e-11|DirectHit	CDD438017|2701-2747:2.05e-06|DirectHit	CDD395794|2425-2936:0.0|DirectHit
7	1.A.53.1.7-O39927:3018	CDD238843|2541-2825:3.69e-39|DirectHit	CDD438052|2441-2958:0.0|DirectHit	CDD350689|1228-1370:3.62e-47|DirectHit	CDD214692|1221-1390:8.40e-13|DirectHit	CDD438028|2561-2845:5.82e-139|DirectHit	CDD350193|1366-1507:1.13e-52|DirectHit	CDD438053|2433-2920:1.24e-97|DirectHit	CDD438029|2622-2754:2.17e-13|DirectHit	CDD438017|2706-2752:1.75e-06|DirectHit	CDD395794|2430-2941:0.0|DirectHit
8	1.A.53.1.8-Q8UWY2:70	CDD238843|Nohit	CDD438052|Nohit	CDD350689|Nohit	CDD214692|Nohit	CDD438028|Nohit	CDD350193|Nohit	CDD438053|Nohit	CDD438029|Nohit	CDD438017|Nohit	CDD395794|Nohit
9	1.A.53.1.9-O90162:63	CDD238843|Nohit	CDD438052|Nohit	CDD350689|Nohit	CDD214692|Nohit	CDD438028|Nohit	CDD350193|Nohit	CDD438053|Nohit	CDD438029|Nohit	CDD438017|Nohit	CDD395794|Nohit
10	1.A.53.1.10-D2K2A7:54	CDD238843|Nohit	CDD438052|Nohit	CDD350689|Nohit	CDD214692|Nohit	CDD438028|Nohit	CDD350193|Nohit	CDD438053|Nohit	CDD438029|Nohit	CDD438017|Nohit	CDD395794|Nohit
