# CDD427411:  DirectHits:  13    Rescued Proteins:  1    Prots with Domain in 9.B.126:  14 (100.0% from a total of 14)
# CDD273260:  DirectHits:  10    Rescued Proteins:  4    Prots with Domain in 9.B.126:  14 (100.0% from a total of 14)
# CDD224214:  DirectHits:  11    Rescued Proteins:  3    Prots with Domain in 9.B.126:  14 (100.0% from a total of 14)
# CDD179791:  DirectHits:  8    Rescued Proteins:  6    Prots with Domain in 9.B.126:  14 (100.0% from a total of 14)
1	9.B.126.1.1-P37642:337	CDD427411|66-327:1.92e-42|DirectHit	CDD224214|35-330:9.67e-70|DirectHit	CDD273260|60-282:7.38e-10|DirectHit	CDD179791|49-329:7.3e-09|Rescued1
2	9.B.126.1.2-I3AVH2:266	CDD427411|8-266:2.86e-25|DirectHit	CDD224214|1-265:1.3e-15|Rescued1	CDD273260|4-262:6.7e-16|Rescued1	CDD179791|2-261:3.8e-07|Rescued1
3	9.B.126.1.3-T5KJT2:401	CDD427411|42-308:7.59e-27|DirectHit	CDD224214|17-312:5.8e-14|Rescued1	CDD273260|36-308:3e-12|Rescued1	CDD179791|36-312:1.4e-08|Rescued1
4	9.B.126.1.4-E4WKH2:341	CDD427411|30-285:1.43e-34|DirectHit	CDD224214|6-286:2.65e-46|DirectHit	CDD273260|28-277:5.75e-09|DirectHit	CDD179791|18-293:4.3e-11|Rescued1
5	9.B.126.1.5-E4N6G8:341	CDD427411|33-277:1.83e-21|DirectHit	CDD224214|6-288:4.83e-16|DirectHit	CDD273260|23-276:1.5e-12|Rescued1	CDD179791|29-281:1.9e-12|Rescued1
6	9.B.126.2.1-P0A8K8:290	CDD427411|29-276:2.32e-52|DirectHit	CDD224214|8-290:1.93e-65|DirectHit	CDD273260|18-275:7.29e-113|DirectHit	CDD179791|15-276:6.84e-73|DirectHit
7	9.B.126.2.2-Q7P7W4:396	CDD427411|10-255:2.47e-45|DirectHit	CDD224214|1-257:1.66e-46|DirectHit	CDD273260|20-252:1.96e-23|DirectHit	CDD179791|20-350:1.08e-18|DirectHit
8	9.B.126.2.3-Q8F2V5:749	CDD427411|40-172:8.18e-20|503-609:6.28e-20|DirectHit	CDD224214|29-173:8.53e-15|DirectHit	CDD273260|38-190:4.13e-13|DirectHit	CDD179791|522-707:1.59e-12|DirectHit
9	9.B.126.2.4-Q0APL7:304	CDD427411|30-289:1.47e-41|DirectHit	CDD224214|10-289:2.40e-35|DirectHit	CDD273260|38-289:5.15e-08|DirectHit	CDD179791|11-283:8.09e-06|DirectHit
10	9.B.126.2.5-D0DT64:299	CDD427411|25-272:1.82e-45|DirectHit	CDD224214|1-272:5.35e-42|DirectHit	CDD273260|12-271:2.04e-24|DirectHit	CDD179791|29-270:8.55e-08|DirectHit
11	9.B.126.2.6-B8HSD7:306	CDD427411|18-278:7.18e-55|DirectHit	CDD224214|1-288:9.04e-59|DirectHit	CDD273260|10-277:3.21e-24|DirectHit	CDD179791|19-283:1.16e-22|DirectHit
12	9.B.126.2.7-R5HFF1:284	CDD427411|23-269:3.80e-17|DirectHit	CDD224214|12-281:1.47e-17|DirectHit	CDD273260|12-269:5.10e-04|DirectHit	CDD179791|24-277:3.53e-04|DirectHit
13	9.B.126.2.8-Q72HC9:272	CDD427411|17-269:3.9e-13|Rescued1	CDD224214|2-270:5.7e-13|Rescued1	CDD273260|7-267:3.8e-12|Rescued1	CDD179791|5-269:4e-12|Rescued1
14	9.B.126.2.9-AUZ87169:363	CDD427411|55-313:2.49e-59|DirectHit	CDD224214|34-311:2.02e-55|DirectHit	CDD273260|46-305:1.44e-24|DirectHit	CDD179791|53-309:4.65e-12|DirectHit
