# CDD320706:  DirectHits:  20    Rescued Proteins:  11    Prots with Domain in 9.A.24:  31 (100.0% from a total of 31)
# CDD427122:  DirectHits:  21    Rescued Proteins:  10    Prots with Domain in 9.A.24:  31 (100.0% from a total of 31)
# CDD226007:  DirectHits:  16    Rescued Proteins:  15    Prots with Domain in 9.A.24:  31 (100.0% from a total of 31)
1	9.A.24.1.1-Q6ICF9:169	CDD427122|11-156:1.05e-48|DirectHit	CDD320706|13-155:2.32e-44|DirectHit	CDD226007|11-158:1.32e-32|DirectHit
2	9.A.24.1.2-Q3J192:159	CDD427122|12-146:7.72e-36|DirectHit	CDD320706|12-146:2.65e-39|DirectHit	CDD226007|6-155:7.90e-27|DirectHit
3	9.A.24.1.3-O82245:196	CDD427122|53-193:5.50e-27|DirectHit	CDD320706|50-190:1.46e-27|DirectHit	CDD226007|58-190:2.54e-08|DirectHit
4	9.A.24.1.4-K9QU16:158	CDD427122|7-147:5.95e-23|DirectHit	CDD320706|7-147:1.75e-18|DirectHit	CDD226007|1-157:7.87e-44|DirectHit
5	9.A.24.1.5-L8H8I3:186	CDD427122|65-146:8.42e-06|DirectHit	CDD320706|62-165:2.42e-06|DirectHit	CDD226007|65-166:1.12e-04|DirectHit
6	9.A.24.1.6-G8T983:186	CDD427122|21-162:9.03e-20|DirectHit	CDD320706|22-156:9.14e-16|DirectHit	CDD226007|16-156:1.27e-10|DirectHit
7	9.A.24.1.7-Q02YV9:159	CDD427122|14-155:3.72e-33|DirectHit	CDD320706|15-156:3.11e-36|DirectHit	CDD226007|11-159:2.99e-34|DirectHit
8	9.A.24.1.8-B6SQ48:188	CDD427122|101-188:1.37e-05|DirectHit	CDD320706|48-184:2.6e-11|Rescued1	CDD226007|66-184:6.7e-11|Rescued1
9	9.A.24.1.9-B7F8G3:193	CDD427122|55-192:1.1e-28|Rescued1	CDD320706|53-191:9.9e-14|Rescued1	CDD226007|60-191:1.4e-13|Rescued1
10	9.A.24.1.10-E1FXE2:171	CDD427122|76-170:7.07e-13|DirectHit	CDD320706|76-169:7.81e-10|DirectHit	CDD226007|58-170:0.00016|Rescued1
11	9.A.24.1.11-R4TUU6:141	CDD427122|42-138:1.34e-10|DirectHit	CDD320706|45-138:3.39e-11|DirectHit	CDD226007|43-139:2.58e-05|DirectHit
12	9.A.24.1.12-M2Y7W1:163	CDD427122|68-162:3.55e-14|DirectHit	CDD320706|68-162:1.85e-16|DirectHit	CDD226007|62-154:2.09e-10|DirectHit
13	9.A.24.1.13-Q735G9:151	CDD427122|29-148:4.43e-26|DirectHit	CDD320706|9-148:1.65e-28|DirectHit	CDD226007|3-151:1.97e-27|DirectHit
14	9.A.24.1.14-ALM14250:134	CDD427122|1-129:3.32e-25|DirectHit	CDD320706|9-129:1.02e-27|DirectHit	CDD226007|9-134:3.56e-22|DirectHit
15	9.A.24.1.15-WP_027079585:161	CDD427122|31-155:5.05e-22|DirectHit	CDD320706|32-154:1.89e-23|DirectHit	CDD226007|34-159:7.41e-17|DirectHit
16	9.A.24.1.16-WP_049997940:167	CDD427122|22-164:4.18e-44|DirectHit	CDD320706|22-164:9.82e-48|DirectHit	CDD226007|18-167:2.15e-36|DirectHit
17	9.A.24.1.17-Q5TGU0:170	CDD427122|8-154:2.26e-20|DirectHit	CDD320706|9-153:2.63e-08|DirectHit	CDD226007|18-154:1.36e-06|DirectHit
18	9.A.24.2.1-Q0AKT4:171	CDD427122|18-160:4.36e-09|DirectHit	CDD320706|18-159:4.60e-10|DirectHit	CDD226007|11-162:4.8e-07|Rescued1
