# CDD428722:  DirectHits:  9    Rescued Proteins:  4    Prots with Domain in 1.C.95:  13 (100.0% from a total of 13)
# CDD227179:  DirectHits:  8    Rescued Proteins:  5    Prots with Domain in 1.C.95:  13 (100.0% from a total of 13)
# CDD274862:  DirectHits:  9    Rescued Proteins:  4    Prots with Domain in 1.C.95:  13 (100.0% from a total of 13)
1	1.C.95.1.1-P0A564:95	CDD428722|5-87:5.55e-12|DirectHit	CDD274862|5-87:7.62e-13|DirectHit	CDD227179|1-95:2.25e-19|DirectHit
2	1.C.95.1.2-Q6NJ54:95	CDD428722|3-86:4.75e-14|DirectHit	CDD274862|3-92:1.78e-19|DirectHit	CDD227179|1-94:6.85e-20|DirectHit
3	1.C.95.1.3-K6WI31:98	CDD428722|4-89:9.76e-09|DirectHit	CDD274862|4-94:3.33e-11|DirectHit	CDD227179|1-97:6.06e-10|DirectHit
4	1.C.95.1.4-WP_020668388:95	CDD428722|3-86:6.51e-14|DirectHit	CDD274862|3-91:9.65e-19|DirectHit	CDD227179|1-94:4.89e-15|DirectHit
5	1.C.95.1.5-W9GDC2:96	CDD428722|6-87:1.09e-09|DirectHit	CDD274862|6-92:9.92e-09|DirectHit	CDD227179|1-96:7.62e-05|DirectHit
6	1.C.95.1.6-WP_010524429:101	CDD428722|5-90:4.4e-06|Rescued1	CDD274862|5-92:3.1e-06|Rescued1	CDD227179|3-95:8.8e-06|Rescued1
7	1.C.95.1.7-WP_099381524:103	CDD428722|7-90:1.5e-05|Rescued1	CDD274862|7-95:1.4e-05|Rescued1	CDD227179|1-95:1.5e-05|Rescued1
8	1.C.95.1.8-WP_068734760:96	CDD428722|4-87:5.20e-11|DirectHit	CDD274862|6-92:2.14e-12|DirectHit	CDD227179|1-96:1.28e-08|DirectHit
9	1.C.95.1.9-WP_105368002:102	CDD428722|5-88:1.23e-11|DirectHit	CDD274862|5-91:2.68e-13|DirectHit	CDD227179|1-92:2.06e-10|DirectHit
10	1.C.95.1.10-WP_020950381:134	CDD428722|59-130:2.2e-06|Rescued1	CDD274862|59-130:2.1e-06|Rescued1	CDD227179|59-130:4.5e-06|Rescued1
11	1.C.95.1.11-WP_084614884:211	CDD428722|121-203:4.19e-04|DirectHit	CDD274862|121-208:4.47e-04|DirectHit	CDD227179|118-210:1.3e-05|Rescued1
12	1.C.95.1.12-WP_006059095:97	CDD428722|4-87:5.1e-06|Rescued1	CDD274862|4-90:5e-06|Rescued1	CDD227179|1-95:2.7e-06|Rescued1
13	1.C.95.1.13-WP_018802519:100	CDD428722|7-87:3.03e-04|DirectHit	CDD274862|4-92:2.28e-07|DirectHit	CDD227179|17-96:1.09e-05|DirectHit
