# CDD235410:  DirectHits:  51    Rescued Proteins:  12    Prots with Domain in 2.A.36:  63 (100.0% from a total of 63)
# CDD425982:  DirectHits:  63    Rescued Proteins:  0    Prots with Domain in 2.A.36:  63 (100.0% from a total of 63)
# CDD273294:  DirectHits:  55    Rescued Proteins:  8    Prots with Domain in 2.A.36:  63 (100.0% from a total of 63)
# CDD225802:  DirectHits:  56    Rescued Proteins:  7    Prots with Domain in 2.A.36:  63 (100.0% from a total of 63)
# CDD223104:  DirectHits:  63    Rescued Proteins:  0    Prots with Domain in 2.A.36:  63 (100.0% from a total of 63)
# CDD223551:  DirectHits:  35    Rescued Proteins:  28    Prots with Domain in 2.A.36:  63 (100.0% from a total of 63)
# CDD129911:  DirectHits:  54    Rescued Proteins:  9    Prots with Domain in 2.A.36:  63 (100.0% from a total of 63)
1	2.A.36.1.1-P26431:820	CDD425982|109-507:1.45e-81|DirectHit	CDD223104|132-533:2.11e-47|DirectHit	CDD225802|133-512:1.40e-14|DirectHit	CDD273294|99-664:0.0|DirectHit	CDD129911|133-507:1.59e-29|DirectHit	CDD235410|225-531:1.78e-05|DirectHit	CDD223551|107-519:8e-201|Rescued1
2	2.A.36.1.2-P26433:831	CDD425982|102-459:2.26e-81|DirectHit	CDD223104|109-483:5.81e-46|DirectHit	CDD225802|132-480:5.09e-21|DirectHit	CDD273294|45-644:0.0|DirectHit	CDD129911|107-549:7.14e-30|DirectHit	CDD235410|140-472:1.33e-12|DirectHit	CDD223551|47-469:1.1e-125|Rescued1
3	2.A.36.1.3-Q96T83:725	CDD425982|176-534:7.69e-72|DirectHit	CDD223104|178-532:1.55e-57|DirectHit	CDD225802|185-544:3.82e-11|DirectHit	CDD273294|93-551:2.03e-87|DirectHit	CDD129911|176-524:1.05e-29|DirectHit	CDD235410|215-498:7.94e-06|DirectHit	CDD223551|191-523:1.98e-04|DirectHit
4	2.A.36.1.4-Q8R4H8:438	CDD425982|109-374:3.44e-44|DirectHit	CDD223104|132-377:1.39e-23|DirectHit	CDD225802|107-410:2.8e-145|Rescued1	CDD273294|99-380:2.09e-138|DirectHit	CDD129911|133-367:1.27e-19|DirectHit	CDD235410|107-410:2.1e-84|Rescued1	CDD223551|107-410:1e-129|Rescued1
5	2.A.36.1.5-Q93YH1:531	CDD425982|31-438:5.40e-42|DirectHit	CDD223104|34-448:5.46e-48|DirectHit	CDD225802|101-454:4.26e-14|DirectHit	CDD273294|25-447:3.71e-76|DirectHit	CDD129911|31-439:2.08e-23|DirectHit	CDD235410|118-454:1.15e-10|DirectHit	CDD223551|102-428:8.80e-05|DirectHit
6	2.A.36.1.6-A3KPJ8:851	CDD425982|99-479:2.31e-75|DirectHit	CDD223104|98-494:4.85e-47|DirectHit	CDD225802|103-482:3.37e-16|DirectHit	CDD273294|65-584:0.0|DirectHit	CDD129911|99-492:1.28e-27|DirectHit	CDD235410|73-621:1.7e-139|Rescued1	CDD223551|67-489:1.1e-106|Rescued1
7	2.A.36.1.7-Q21386:783	CDD425982|115-519:1.26e-52|DirectHit	CDD223104|107-522:2.05e-47|DirectHit	CDD225802|223-522:8.46e-10|DirectHit	CDD273294|101-604:2.05e-120|DirectHit	CDD129911|127-519:3.30e-30|DirectHit	CDD235410|223-520:3.53e-06|DirectHit	CDD223551|99-531:1.7e-86|Rescued1
8	2.A.36.1.8-Q09432:627	CDD425982|86-438:3.95e-69|DirectHit	CDD223104|86-442:4.76e-44|DirectHit	CDD225802|101-443:8.33e-11|DirectHit	CDD273294|25-532:1.10e-142|DirectHit	CDD129911|88-453:2.82e-33|DirectHit	CDD235410|115-530:6.61e-05|DirectHit	CDD223551|29-449:3.8e-113|Rescued1
9	2.A.36.1.9-Q9Y2E8:581	CDD425982|62-472:1.60e-52|DirectHit	CDD223104|60-484:1.16e-57|DirectHit	CDD225802|129-478:2.91e-13|DirectHit	CDD273294|64-542:3.73e-100|DirectHit	CDD129911|66-482:1.72e-29|DirectHit	CDD235410|60-478:5.26e-11|DirectHit	CDD223551|60-484:1.2e-88|Rescued1
10	2.A.36.1.10-Q17L17:1179	CDD425982|254-655:8.89e-91|DirectHit	CDD223104|274-659:6.80e-53|DirectHit	CDD225802|256-659:2.65e-18|DirectHit	CDD273294|244-824:0.0|DirectHit	CDD129911|289-655:1.02e-36|DirectHit	CDD235410|352-667:6.11e-12|DirectHit	CDD223551|274-666:1.74e-10|DirectHit
11	2.A.36.1.11-Q552S0:674	CDD425982|147-520:4.62e-44|DirectHit	CDD223104|118-526:6.80e-46|DirectHit	CDD225802|124-476:7.74e-15|DirectHit	CDD273294|124-583:1.91e-81|DirectHit	CDD129911|121-512:3.67e-34|DirectHit	CDD235410|208-476:7.52e-13|DirectHit	CDD223551|121-532:7.98e-04|DirectHit
12	2.A.36.1.12-Q04121:633	CDD425982|64-417:3.89e-48|DirectHit	CDD223104|57-507:3.93e-87|DirectHit	CDD225802|64-450:1.51e-07|DirectHit	CDD273294|55-611:0.0|DirectHit	CDD129911|64-452:3.80e-30|DirectHit	CDD235410|160-449:1.71e-07|DirectHit	CDD223551|57-499:5.9e-64|Rescued1
13	2.A.36.1.13-P19634:815	CDD425982|105-503:1.84e-84|DirectHit	CDD223104|128-529:9.06e-49|DirectHit	CDD225802|129-508:4.01e-14|DirectHit	CDD273294|95-660:0.0|DirectHit	CDD129911|129-503:6.99e-30|DirectHit	CDD235410|221-527:9.67e-06|DirectHit	CDD223551|136-494:1.62e-04|DirectHit
14	2.A.36.1.14-Q92581:669	CDD425982|99-501:6.69e-72|DirectHit	CDD223104|146-501:3.98e-56|DirectHit	CDD225802|153-467:1.22e-10|DirectHit	CDD273294|93-551:3.07e-96|DirectHit	CDD129911|104-532:6.53e-28|DirectHit	CDD235410|159-467:4.78e-10|DirectHit	CDD223551|74-514:1.2e-153|Rescued1
15	2.A.36.1.15-P48764:834	CDD425982|105-462:7.19e-83|DirectHit	CDD223104|112-486:1.75e-45|DirectHit	CDD225802|135-483:1.22e-19|DirectHit	CDD273294|48-646:0.0|DirectHit	CDD129911|110-552:9.40e-32|DirectHit	CDD235410|143-465:7.55e-13|DirectHit	CDD223551|53-472:1.1e-127|Rescued1
16	2.A.36.1.16-Q14940:896	CDD425982|50-455:9.22e-76|DirectHit	CDD223104|99-473:9.53e-46|DirectHit	CDD225802|110-475:1.19e-17|DirectHit	CDD273294|41-630:0.0|DirectHit	CDD129911|99-465:7.04e-28|DirectHit	CDD235410|160-458:5.56e-11|DirectHit	CDD223551|41-465:6.1e-118|Rescued1
17	2.A.36.1.17-Q9UBY0:812	CDD425982|84-484:3.09e-95|DirectHit	CDD223104|107-488:1.74e-55|DirectHit	CDD225802|108-488:6.71e-18|DirectHit	CDD273294|74-630:0.0|DirectHit	CDD129911|108-502:4.88e-43|DirectHit	CDD235410|199-493:5.29e-10|DirectHit	CDD223551|7-495:1.2e-133|Rescued1
18	2.A.36.1.18-Q6AI14:798	CDD425982|73-476:2.68e-87|DirectHit	CDD223104|98-497:3.70e-59|DirectHit	CDD225802|104-480:1.45e-19|DirectHit	CDD273294|63-621:0.0|DirectHit	CDD129911|97-492:8.53e-43|DirectHit	CDD235410|138-546:5.48e-08|DirectHit	CDD223551|67-488:3.2e-112|Rescued1
