# CDD225679:  DirectHits:  7    Rescued Proteins:  4    Prots with Domain in 1.B.75:  11 (100.0% from a total of 11)
# CDD427876:  DirectHits:  11    Rescued Proteins:  0    Prots with Domain in 1.B.75:  11 (100.0% from a total of 11)
1	1.B.75.1.1-I0A8J9:241	CDD427876|36-240:9.57e-62|DirectHit	CDD225679|1-241:9.47e-133|DirectHit
2	1.B.75.1.2-M5TX99:358	CDD427876|149-358:4.46e-45|DirectHit	CDD225679|143-358:1.41e-07|DirectHit
3	1.B.75.1.3-P76206:252	CDD427876|47-251:6.04e-65|DirectHit	CDD225679|1-252:2.51e-138|DirectHit
4	1.B.75.1.4-S5PBC0:234	CDD427876|27-234:2.12e-55|DirectHit	CDD225679|23-234:3.28e-13|DirectHit
5	1.B.75.1.5-C0QQX6:240	CDD427876|31-240:1.24e-44|DirectHit	CDD225679|27-240:4.01e-21|DirectHit
6	1.B.75.1.6-C6XPW9:247	CDD427876|30-244:1.36e-49|DirectHit	CDD225679|5-244:2.67e-14|DirectHit
7	1.B.75.1.7-Q1CZE8:330	CDD427876|100-328:4.74e-38|DirectHit	CDD225679|93-325:2.26e-05|DirectHit
8	1.B.75.2.1-H6L3E7:276	CDD427876|69-276:3.70e-04|DirectHit	CDD225679|67-268:0.0016|Rescued2
9	1.B.75.2.2-F8CR23:259	CDD427876|45-256:5.82e-24|DirectHit	CDD225679|43-259:2e-05|Rescued1
10	1.B.75.3.1-Q7U678:310	CDD427876|89-310:2.43e-07|DirectHit	CDD225679|86-288:0.0028|Rescued1
11	1.B.75.3.2-Q7VAD5:296	CDD427876|81-296:1.13e-39|DirectHit	CDD225679|65-296:8.8e-07|Rescued1
