# CDD222860:  DirectHits:  8    Rescued Proteins:  7    Prots with Domain in 1.W.3:  15 (100.0% from a total of 15)
# CDD273680:  DirectHits:  8    Rescued Proteins:  7    Prots with Domain in 1.W.3:  15 (100.0% from a total of 15)
# CDD428161:  DirectHits:  8    Rescued Proteins:  7    Prots with Domain in 1.W.3:  15 (100.0% from a total of 15)
# CDD273677:  DirectHits:  8    Rescued Proteins:  7    Prots with Domain in 1.W.3:  15 (100.0% from a total of 15)
# CDD227805:  DirectHits:  7    Rescued Proteins:  8    Prots with Domain in 1.W.3:  15 (100.0% from a total of 15)
1	1.W.3.1.1-P25480:344	CDD428161|89-337:2.94e-06|DirectHit	CDD273680|52-334:1.59e-93|DirectHit	CDD222860|1-343:0.0|DirectHit	CDD273677|61-344:8.9e-13|Rescued1	CDD227805|24-341:6.79e-103|DirectHit
2	1.W.3.1.2-WP_046037116:354	CDD428161|48-349:1.23e-25|DirectHit	CDD273680|28-310:2.61e-33|DirectHit	CDD222860|29-317:9.83e-25|DirectHit	CDD273677|74-349:2.98e-14|DirectHit	CDD227805|28-349:5.85e-15|DirectHit
3	1.W.3.1.3-OGG93075:406	CDD428161|184-383:7.06e-06|DirectHit	CDD273680|48-374:2.22e-19|DirectHit	CDD222860|46-389:5.17e-20|DirectHit	CDD273677|109-368:6.4e-05|Rescued1	CDD227805|43-364:1.2e-11|Rescued1
4	1.W.3.1.4-WP_008881966:481	CDD428161|207-428:3.35e-21|DirectHit	CDD273680|51-381:3.56e-46|DirectHit	CDD222860|110-380:2.55e-11|DirectHit	CDD273677|71-434:8.28e-18|DirectHit	CDD227805|89-401:1.51e-27|DirectHit
5	1.W.3.1.5-YP_006560405:560	CDD428161|80-371:1e-11|Rescued1	CDD273680|42-342:2.04e-14|DirectHit	CDD222860|80-340:6.78e-11|DirectHit	CDD273677|82-396:1.2e-11|Rescued1	CDD227805|49-341:1.33e-06|DirectHit
6	1.W.3.1.6-WP_006928179:432	CDD428161|61-399:1.10e-31|DirectHit	CDD273680|39-352:3.79e-35|DirectHit	CDD222860|117-354:2.22e-13|DirectHit	CDD273677|99-403:2.51e-24|DirectHit	CDD227805|26-425:2.34e-24|DirectHit
7	1.W.3.1.7-YP_009225777:511	CDD428161|240-454:8.45e-22|DirectHit	CDD273680|77-411:8.11e-37|DirectHit	CDD222860|169-412:1.65e-13|DirectHit	CDD273677|157-460:1.73e-14|DirectHit	CDD227805|58-455:1.05e-31|DirectHit
8	1.W.3.1.8-KQC09679:395	CDD428161|180-385:0.001|DirectHit	CDD273680|51-367:1.6e-15|Rescued1	CDD222860|55-354:6.72e-11|DirectHit	CDD273677|123-363:1.48e-05|DirectHit	CDD227805|51-316:2.39e-06|DirectHit
9	1.W.3.1.9-WP_037616440:523	CDD428161|71-403:2.59e-21|DirectHit	CDD273680|81-355:6.12e-16|DirectHit	CDD222860|117-360:8.7e-09|Rescued1	CDD273677|63-412:7.42e-21|DirectHit	CDD227805|60-407:1e-16|Rescued1
10	1.W.3.2.1-RLE41105:374	CDD428161|65-372:5.5e-05|Rescued1	CDD273680|57-327:0.00012|Rescued1	CDD222860|47-327:8.8e-05|Rescued1	CDD273677|110-373:5.32e-08|DirectHit	CDD227805|47-372:7.1e-05|Rescued1
11	1.W.3.2.2-WP_048091672:405	CDD428161|69-362:3.3e-05|Rescued1	CDD273680|42-322:0.0023|Rescued1	CDD222860|38-343:0.00081|Rescued2	CDD273677|55-377:1.2e-18|Rescued1	CDD227805|69-377:1.9e-05|Rescued1
12	1.W.3.2.3-YP_001429612:648	CDD428161|140-420:3.3e-06|Rescued1	CDD273680|140-369:1.5e-05|Rescued1	CDD222860|79-386:6.2e-05|Rescued2	CDD273677|99-453:1.9e-12|Rescued1	CDD227805|79-449:0.0033|Rescued2
13	1.W.3.2.4-RLE91336:461	CDD428161|47-213:1.6e-10|Rescued1	CDD273680|30-265:3.4e-10|Rescued1	CDD222860|21-265:2e-05|Rescued1	CDD273677|47-350:4.00e-08|DirectHit	CDD227805|26-265:3.2e-05|Rescued1
14	1.W.3.2.5-RLG54911:528	CDD428161|50-378:2.1e-06|Rescued2	CDD273680|49-228:1.7e-06|Rescued1	CDD222860|92-228:0.00025|Rescued1	CDD273677|50-391:4.2e-10|Rescued1	CDD227805|78-228:2.2e-05|Rescued1
15	1.W.3.2.6-WP_155320278:526	CDD428161|63-379:0.0056|Rescued2	CDD273680|53-334:8.6e-07|Rescued2	CDD222860|51-334:1.7e-08|Rescued2	CDD273677|63-334:2e-07|Rescued1	CDD227805|51-363:0.0099|Rescued2
