# CDD427705:  DirectHits:  12    Rescued Proteins:  0    Prots with Domain in 1.C.81:  12 (100.0% from a total of 12)
# CDD198107:  DirectHits:  11    Rescued Proteins:  1    Prots with Domain in 1.C.81:  12 (100.0% from a total of 12)
1	1.C.81.1.1-Q5SC60:202	CDD427705|78-167:7.53e-04|DirectHit	CDD198107|73-168:6.1e-19|Rescued1
2	1.C.81.1.2-AYO99540:239	CDD427705|102-188:1.36e-06|DirectHit	CDD198107|103-189:1.34e-04|DirectHit
3	1.C.81.1.3-XP_013408651:240	CDD427705|112-197:3.89e-12|DirectHit	CDD198107|112-197:5.42e-13|DirectHit
4	1.C.81.1.4-XP_020909756:285	CDD427705|150-233:3.39e-09|DirectHit	CDD198107|146-233:1.76e-06|DirectHit
5	1.C.81.1.5-XP_007891647:359	CDD427705|105-199:1.92e-28|DirectHit	CDD198107|103-200:1.00e-30|DirectHit
6	1.C.81.1.6-XP_022807323:331	CDD427705|128-216:7.21e-10|DirectHit	CDD198107|126-216:3.09e-09|DirectHit
7	1.C.81.1.7-XP_018110157:181	CDD427705|60-146:1.34e-17|DirectHit	CDD198107|60-147:1.31e-11|DirectHit
8	1.C.81.1.8-NP_001011705:333	CDD427705|106-200:4.89e-24|DirectHit	CDD198107|104-201:1.36e-30|DirectHit
9	1.C.81.1.10-Q9NS71:199	CDD427705|70-163:1.70e-32|DirectHit	CDD198107|68-164:1.04e-33|DirectHit
10	1.C.81.2.1-Q9Y287:266	CDD427705|139-230:6.17e-25|DirectHit	CDD198107|137-231:8.77e-33|DirectHit
11	1.C.81.2.2-O43736:263	CDD427705|135-225:4.79e-22|DirectHit	CDD198107|133-225:5.63e-31|DirectHit
12	1.C.81.2.3-Q9NQX7:267	CDD427705|138-228:3.74e-27|DirectHit	CDD198107|136-228:3.02e-34|DirectHit
