# CDD350411:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350352:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD214649:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350360:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350408:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350358:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350354:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350347:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350412:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350409:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350344:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350359:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD431265:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350361:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD225297:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD350410:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
# CDD214469:  DirectHits:  4    Rescued Proteins:  0    Prots with Domain in 1.A.51:  4 (36.4% from a total of 11)
1	1.A.51.1.1-Q3U2S8:269	CDD350412|Nohit	CDD350347|Nohit	CDD431265|Nohit	CDD350358|Nohit	CDD350408|Nohit	CDD350352|Nohit	CDD350361|Nohit	CDD214469|Nohit	CDD350410|Nohit	CDD225297|Nohit	CDD350359|Nohit	CDD350344|Nohit	CDD350409|Nohit	CDD350354|Nohit	CDD350411|Nohit	CDD214649|Nohit	CDD350360|Nohit
2	1.A.51.1.2-Q96D96:273	CDD350412|Nohit	CDD350347|Nohit	CDD431265|Nohit	CDD350358|Nohit	CDD350408|Nohit	CDD350352|Nohit	CDD350361|Nohit	CDD214469|Nohit	CDD350410|Nohit	CDD225297|Nohit	CDD350359|Nohit	CDD350344|Nohit	CDD350409|Nohit	CDD350354|Nohit	CDD350411|Nohit	CDD214649|Nohit	CDD350360|Nohit
3	1.A.51.1.3-Q1JV40:342	CDD350412|Nohit	CDD350347|Nohit	CDD431265|Nohit	CDD350358|Nohit	CDD350408|Nohit	CDD350352|Nohit	CDD350361|Nohit	CDD214469|Nohit	CDD350410|Nohit	CDD225297|Nohit	CDD350359|Nohit	CDD350344|Nohit	CDD350409|Nohit	CDD350354|Nohit	CDD350411|Nohit	CDD214649|Nohit	CDD350360|Nohit
4	1.A.51.1.4-G5CPN9:248	CDD350412|Nohit	CDD350347|Nohit	CDD431265|Nohit	CDD350358|Nohit	CDD350408|Nohit	CDD350352|Nohit	CDD350361|Nohit	CDD214469|Nohit	CDD350410|Nohit	CDD225297|Nohit	CDD350359|Nohit	CDD350344|Nohit	CDD350409|Nohit	CDD350354|Nohit	CDD350411|Nohit	CDD214649|Nohit	CDD350360|Nohit
5	1.A.51.1.5-AMK01488:239	CDD350412|Nohit	CDD350347|Nohit	CDD431265|Nohit	CDD350358|Nohit	CDD350408|Nohit	CDD350352|Nohit	CDD350361|Nohit	CDD214469|Nohit	CDD350410|Nohit	CDD225297|Nohit	CDD350359|Nohit	CDD350344|Nohit	CDD350409|Nohit	CDD350354|Nohit	CDD350411|Nohit	CDD214649|Nohit	CDD350360|Nohit
6	1.A.51.1.6-KIK49332:223	CDD350412|Nohit	CDD350347|Nohit	CDD431265|Nohit	CDD350358|Nohit	CDD350408|Nohit	CDD350352|Nohit	CDD350361|Nohit	CDD214469|Nohit	CDD350410|Nohit	CDD225297|Nohit	CDD350359|Nohit	CDD350344|Nohit	CDD350409|Nohit	CDD350354|Nohit	CDD350411|Nohit	CDD214649|Nohit	CDD350360|Nohit
7	1.A.51.1.7-XP_001825565:211	CDD350412|Nohit	CDD350347|Nohit	CDD431265|Nohit	CDD350358|Nohit	CDD350408|Nohit	CDD350352|Nohit	CDD350361|Nohit	CDD214469|Nohit	CDD350410|Nohit	CDD225297|Nohit	CDD350359|Nohit	CDD350344|Nohit	CDD350409|Nohit	CDD350354|Nohit	CDD350411|Nohit	CDD214649|Nohit	CDD350360|Nohit
8	1.A.51.2.1-Q4W8A1:576	CDD350412|261-421:5.06e-23|DirectHit	CDD350347|263-425:4.75e-70|DirectHit	CDD431265|434-572:3.62e-34|DirectHit	CDD350358|263-422:6.89e-37|DirectHit	CDD350408|263-422:1.55e-27|DirectHit	CDD350352|310-398:5.00e-04|DirectHit	CDD350361|261-425:1.14e-29|DirectHit	CDD214469|331-381:4.41e-07|DirectHit	CDD350410|263-422:3.87e-25|DirectHit	CDD225297|317-430:9.67e-11|DirectHit	CDD350359|263-425:2.86e-68|DirectHit	CDD350344|327-399:1.41e-08|DirectHit	CDD350409|263-422:1.09e-28|DirectHit	CDD350354|311-424:5.38e-07|DirectHit	CDD350411|261-421:1.45e-20|DirectHit	CDD214649|331-381:4.41e-07|DirectHit	CDD350360|249-425:1.42e-121|DirectHit
9	1.A.51.2.2-XP_018103475:509	CDD350412|199-359:1.06e-32|DirectHit	CDD350347|201-361:2.06e-65|DirectHit	CDD431265|372-509:2.24e-35|DirectHit	CDD350358|201-360:7.19e-41|DirectHit	CDD350408|201-363:9.80e-36|DirectHit	CDD350352|248-318:4.98e-06|DirectHit	CDD350361|199-359:5.91e-37|DirectHit	CDD214469|269-363:1.30e-08|DirectHit	CDD350410|201-360:5.52e-33|DirectHit	CDD225297|267-380:3.39e-10|DirectHit	CDD350359|201-363:2.05e-77|DirectHit	CDD350344|202-357:5.99e-08|DirectHit	CDD350409|201-359:1.23e-35|DirectHit	CDD350354|208-361:1.03e-08|DirectHit	CDD350411|199-359:3.04e-28|DirectHit	CDD214649|269-363:1.30e-08|DirectHit	CDD350360|187-363:8.69e-134|DirectHit
10	1.A.51.2.3-NP_954863:522	CDD350412|218-378:2.58e-38|DirectHit	CDD350347|220-379:7.22e-65|DirectHit	CDD431265|391-521:2.23e-42|DirectHit	CDD350358|220-380:3.94e-43|DirectHit	CDD350408|220-380:9.84e-34|DirectHit	CDD350352|267-357:3.08e-04|DirectHit	CDD350361|218-382:3.03e-41|DirectHit	CDD214469|288-346:6.64e-06|DirectHit	CDD350410|220-380:7.20e-29|DirectHit	CDD225297|269-394:1.29e-08|DirectHit	CDD350359|220-381:1.49e-76|DirectHit	CDD350344|224-376:1.10e-05|DirectHit	CDD350409|220-379:5.30e-31|DirectHit	CDD350354|227-381:1.93e-09|DirectHit	CDD350411|218-382:1.08e-31|DirectHit	CDD214649|288-346:6.64e-06|DirectHit	CDD350360|206-382:1.05e-129|DirectHit
