# CDD429373:  DirectHits:  17    Rescued Proteins:  9    Prots with Domain in 2.A.121:  26 (92.9% from a total of 28)
1	2.A.121.1.1-P0A6J3:253	CDD429373|15-229:5.94e-33|DirectHit
2	2.A.121.1.2-Q9RDP2:274	CDD429373|93-229:4.38e-20|DirectHit
3	2.A.121.1.3-Q5QUJ8:246	CDD429373|13-224:8.40e-25|DirectHit
4	2.A.121.1.4-M4XKU7:246	CDD429373|65-223:5.05e-21|DirectHit
5	2.A.121.2.1-P31379:325	CDD429373|73-282:8.9e-07|Rescued1
6	2.A.121.2.2-Q08219:342	CDD429373|92-318:3.2e-08|Rescued1
7	2.A.121.2.3-E2PST1:429	CDD429373|161-350:1.6e-10|Rescued1
8	2.A.121.2.4-F9FCI2:376	CDD429373|38-252:7.04e-06|DirectHit
9	2.A.121.2.5-Q08218:356	CDD429373|234-303:0.0019|Rescued1
10	2.A.121.2.6-Q6MVD5:288	CDD429373|171-250:2.30e-05|DirectHit
11	2.A.121.2.7-ETL92869:261	CDD429373|4-210:3.82e-09|DirectHit
12	2.A.121.2.8-Q75BI8:226	CDD429373|7-196:5.3e-06|Rescued1
13	2.A.121.2.9-ORY60915:309	CDD429373|33-247:8.08e-05|DirectHit
14	2.A.121.2.10-XP_007000960:367	CDD429373|201-275:8.53e-05|DirectHit
15	2.A.121.2.11-KIP07117:288	CDD429373|175-253:4.91e-04|DirectHit
16	2.A.121.2.12-KZT24795:282	CDD429373|36-250:2.5e-27|Rescued1
17	2.A.121.2.13-KFH67919:345	CDD429373|163-242:1.16e-09|DirectHit
18	2.A.121.3.1-O14681:340	CDD429373|120-254:1.73e-09|DirectHit
19	2.A.121.3.2-A9UP86:331	CDD429373|121-272:1.61e-12|DirectHit
20	2.A.121.3.3-Q5BPL5:320	CDD429373|98-255:1.41e-11|DirectHit
21	2.A.121.4.1-E0QD93:236	CDD429373|7-212:3.8e-06|Rescued1
22	2.A.121.4.2-E6S4S3:250	CDD429373|86-230:4.29e-06|DirectHit
23	2.A.121.4.3-E6YFT5:237	CDD429373|68-213:3.14e-11|DirectHit
24	2.A.121.4.4-D5CR85:243	CDD429373|7-215:7.01e-04|DirectHit
25	2.A.121.4.5-B9L883:298	CDD429373|89-274:0.0074|Rescued1
26	2.A.121.4.6-Q8EZV9:231	CDD429373|54-225:0.0042|Rescued2
27	2.A.121.4.7-R6L3Z4:389	CDD429373|Nohit
28	2.A.121.4.8-KKK46485:279	CDD429373|Nohit
